canon,target_type,y_true,y_pred
*C(=O)C(F)(F)CC(*)(F)F,eea,3.352,1.8011436780530463
*C(=O)Oc1ccc(C(*)=S)cc1,eea,3.6938,3.5275170845463237
*C(=O)Oc1ccc(C(*)=S)s1,eea,3.8482,3.697138058190447
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,eea,3.0595,2.5522201516285943
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,eea,2.775,2.8269798325996915
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)s1,eea,4.1032,3.874871746915417
*C(=O)c1ccc(C(=O)C(*)=S)cc1,eea,3.783,4.187464394287354
*C(=O)c1ccc(C(=O)C(*)=S)s1,eea,4.6396,4.3040068979189225
*C(=O)c1ccc(C(=O)c2ccc(*)cc2)cc1,eea,2.1866,2.896840669041969
*C(=O)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9183,3.3007444614003654
*C(=O)c1ccc(C(=S)c2ccc(*)s2)cc1,eea,3.9759,3.4909114607415854
*C(=O)c1ccc(C(=S)c2ccc(*)s2)s1,eea,4.1286,4.277470529695135
*C(=O)c1ccc(NC(=S)Oc2ccc(Nc3ccc(*)s3)s2)s1,eea,2.7059,3.0041940457786156
*C(=O)c1ccc(OC(*)=S)cc1,eea,3.2631,3.29981344295959
*C(=O)c1ccc(Oc2ccc(*)s2)s1,eea,2.882,2.955925272846315
*C(=S)C(=O)C(F)(F)C(*)(F)F,eea,5.1438,4.478537445921097
*C(=S)C(F)(F)c1ccc(C(*)(F)F)cc1,eea,4.0037,3.845575177179269
*C(=S)C(F)(F)c1ccc(C(*)(F)F)s1,eea,4.1531,3.954987670329275
*C(=S)CC(F)(F)C(*)(F)F,eea,3.5657,3.9803359767298025
*C(=S)OC(=S)c1ccc(*)cc1,eea,3.7508,3.1034190410748606
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,eea,3.0264,2.8701590545896205
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,eea,3.3503,3.1265237357566056
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9311,3.0473066653164422
*C(=S)c1ccc(C(F)(F)C(*)(F)F)s1,eea,4.1828,4.206590972019276
*C(F)C(*)(F)F,eea,1.524,1.837365970587838
*CC(*)(F)F,eea,1.1415,0.9886528150846264
*CC(*)C,eea,0.4343,0.8999520044449053
*CC(=O)C(=S)C(*)=O,eea,4.8698,3.67919553639021
*CC(=O)C(=S)O*,eea,2.8847,3.936736063364542
*CC(=O)CC(*)=O,eea,1.5258,2.0831667562611167
*CC(=O)CC(*)=S,eea,3.0632,3.2384300163227357
*CC(=O)Cc1ccc(*)cc1,eea,1.8209,1.8611050992406895
*CC(=O)Cc1ccc(*)s1,eea,1.6069,2.1298383316347502
*CC(=O)NC(*)=S,eea,2.9562,3.167824029434724
*CC(=O)Nc1ccc(*)cc1,eea,1.369,1.349904900038935
*CC(=O)Nc1ccc(*)s1,eea,1.3272,1.6373823752125478
*CC(=O)O*,eea,1.2063,1.0884671841831657
*CC(=O)Oc1ccc(*)s1,eea,1.4534,1.5069504647678684
*CC(=O)c1ccc(-c2ccc(*)s2)cc1,eea,2.4129,2.242172301100891
*CC(=O)c1ccc(C(*)=O)s1,eea,3.1941,2.5603482985766215
*CC(=O)c1ccc(C(*)=S)cc1,eea,3.7473,3.4221039232003068
*CC(=O)c1ccc(O*)cc1,eea,2.3793,1.8224305845343693
*CC(=O)c1ccc(O*)s1,eea,2.4711,2.1905901821309315
*CC(=S)C(=O)O*,eea,3.8755,3.687562508574618
*CC(=S)NO*,eea,2.2076,2.7323894579544366
*CC(=S)c1ccc(C(*)=S)cc1,eea,2.9742,3.214916293072136
*CC(=S)c1ccc(N*)cc1,eea,3.0309,2.8440794226323916
*CC(=S)c1ccc(O*)cc1,eea,3.1915,2.963886690030377
*CC(O*)C(F)(F)F,eea,0.7546,1.5981549727997064
*CCC(=O)C(*)=S,eea,3.1911,3.7883197900333245
*CCC(=O)N*,eea,1.1904,1.004396191100966
*CCC(=O)OC(=O)Cc1ccc(-c2ccc(*)cc2)cc1,eea,1.5387,2.244516416128724
*CCC(=O)c1ccc(*)s1,eea,2.6933,2.318802608420746
*CCC(O*)(C(F)(F)F)C(F)(F)F,eea,0.4911,1.827209660980349
*CCCC(*)=O,eea,1.2346,1.5344675503365908
*CCCC(*)=S,eea,2.3997,2.4252956003903625
*CCCCCCC(=O)N*,eea,0.6934,1.124017699731344
*CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,eea,0.9199,0.9220429349522754
*CCCCCOCO*,eea,0.5413,0.6222841680764014
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,eea,2.4936,1.4425729694145497
*CCCc1ccc(*)cc1,eea,0.9937,1.0753914704228622
*CCNC(*)=S,eea,1.6837,2.2441174188230417
*CCNc1ccc(*)cc1,eea,0.6326,0.7264813973708176
*CCO*,eea,0.3936,0.8492597771345823
*CCOC(=O)CCCCC(=O)O*,eea,1.0754,1.2277398896150449
*CCOC(=O)CCCCCCC(=O)O*,eea,0.8924,1.343680090184832
*CCOC(=O)NCCOCCOCCNC(=O)O*,eea,0.573,0.8839662601523018
*CCOC(=O)c1ccc(C(=O)O*)cc1,eea,2.2723,1.5177560628358837
*CCOC(=S)NC(=S)c1ccc(N*)cc1,eea,2.6209,3.3804541572043467
*CCOCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,eea,0.755,1.0504935617995512
*CCOCCOC(=O)O*,eea,0.4954,0.7019037709112442
*CCc1ccc(-c2ccc(*)s2)cc1,eea,1.6982,1.4690538723910742
*CCc1ccc(-c2ccc(*)s2)s1,eea,1.9411,1.6681730467149574
*CCc1ccc(C(*)=S)s1,eea,3.3272,2.8709693067500073
*CCc1ccc(O*)cc1,eea,0.7536,0.9576727416395034
*CCc1ccc(O*)s1,eea,0.6627,1.189686609181484
*CNC(=O)C(*)=S,eea,4.0732,3.5766973854734645
*CNC(=O)NCOCO*,eea,0.7808,0.6103901285271968
*CNC(=O)c1ccc(*)s1,eea,1.968,2.034849733876473
*CNC(=S)c1ccc(*)s1,eea,2.3974,2.792753506249575
*CNCC(*)=O,eea,1.6269,1.7518532402003697
*CNCC(*)=S,eea,2.6857,2.4765997511838727
*CNCCCOCO*,eea,0.6155,0.6835167588478371
*CNCCNC(=O)OC*,eea,0.5903,0.6583343699416025
*CNCN*,eea,0.8689,0.6970894946090891
*CNCO*,eea,0.7624,0.7854214359092617
*CNCc1ccc(*)s1,eea,1.1612,1.0294176576900682
*CNOC(*)=S,eea,2.5,2.345067170348532
*CNON*,eea,0.9652,0.8210738342300206
*CNc1ccc(N*)cc1,eea,0.54,0.6694632421322163
*CNc1ccc(N*)s1,eea,0.5629,1.169937910238047
*CNc1ccc(O*)cc1,eea,0.7695,0.7678738724848999
*CNc1ccc(O*)s1,eea,0.8203,1.254537669952988
*CO*,eea,0.9897,0.7298765910256053
*COC(=O)O*,eea,0.7529,0.9871642937948049
*COC(=S)O*,eea,2.0771,2.369215077491818
*COCOCCCO*,eea,0.6927,0.6145431215556321
*CONC(*)=O,eea,1.2523,1.1919336040401571
*COc1ccc(-c2ccc(*)cc2)s1,eea,1.6377,1.4073958752178475
*COc1ccc(O*)cc1,eea,0.9466,0.8010588610064507
*COc1ccc(O*)s1,eea,0.8857,1.306086017802158
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,eea,1.8331,2.0209396034097917
