canon,target_type,y_true,y_pred_lgb,y_pred_mlp,y_pred_blend
*C(=O)C(F)(F)CC(*)(F)F,eea,3.352,1.6429089396940806,2.687741279602051,2.105985732689703
*C(=O)Oc1ccc(C(*)=S)cc1,eea,3.6938,3.445863183120776,3.3761425018310547,3.4149625034002784
*C(=O)Oc1ccc(C(*)=S)s1,eea,3.8482,3.956029206797347,3.231886386871338,3.6350841882389817
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,eea,3.0595,2.7495342964267455,2.7533979415893555,2.751246690217439
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,eea,2.775,2.7873444218103547,3.1305534839630127,2.9394570103646935
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)s1,eea,4.1032,3.8138540938800825,4.133285999298096,3.9554284849967316
*C(=O)c1ccc(C(=O)C(*)=S)cc1,eea,3.783,4.306375619594772,3.970482349395752,4.157505439747281
*C(=O)c1ccc(C(=O)C(*)=S)s1,eea,4.6396,4.202643367251796,3.931915283203125,4.082654840723079
*C(=O)c1ccc(C(=O)c2ccc(*)cc2)cc1,eea,2.1866,2.68993676356059,3.0915956497192383,2.8679547112984287
*C(=O)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9183,3.08795475416713,3.186328887939453,3.1315548387367
*C(=O)c1ccc(C(=S)c2ccc(*)s2)cc1,eea,3.9759,3.3374696956265817,3.8248915672302246,3.553498381298792
*C(=O)c1ccc(C(=S)c2ccc(*)s2)s1,eea,4.1286,4.197158957218512,4.011655807495117,4.1149427007116905
*C(=O)c1ccc(NC(=S)Oc2ccc(Nc3ccc(*)s3)s2)s1,eea,2.7059,3.0763439483370476,2.9163153171539307,3.005418171554253
*C(=O)c1ccc(OC(*)=S)cc1,eea,3.2631,3.223983561434703,3.3078527450561523,3.2611549535319293
*C(=O)c1ccc(Oc2ccc(*)s2)s1,eea,2.882,2.927577361851875,3.1054768562316895,3.0064236266413085
*C(=S)C(=O)C(F)(F)C(*)(F)F,eea,5.1438,4.5610577512551345,3.962127208709717,4.295607664886742
*C(=S)C(F)(F)c1ccc(C(*)(F)F)cc1,eea,4.0037,3.8709751139433592,3.9533281326293945,3.9074745314384156
*C(=S)C(F)(F)c1ccc(C(*)(F)F)s1,eea,4.1531,3.827809522011948,3.5253214836120605,3.6937447678963786
*C(=S)CC(F)(F)C(*)(F)F,eea,3.5657,3.849623776428973,3.664144515991211,3.767418107815878
*C(=S)OC(=S)c1ccc(*)cc1,eea,3.7508,3.1430473761796196,3.703122138977051,3.391276316927054
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,eea,3.0264,2.9872363738038543,3.064246654510498,3.021367853520941
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,eea,3.3503,2.958750364238435,2.979292631149292,2.9678548365241775
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9311,3.1480043318979427,3.277307510375977,3.205312379253199
*C(=S)c1ccc(C(F)(F)C(*)(F)F)s1,eea,4.1828,4.073237336047277,3.7234349250793457,3.9182025304942303
*C(F)C(*)(F)F,eea,1.524,1.868761839557017,0.99412739276886,1.4811179093377098
*CC(*)(F)F,eea,1.1415,0.8522159432812995,1.246519923210144,1.0269741465993005
*CC(*)C,eea,0.4343,0.9286059174757366,0.8662146329879761,0.9009536762233128
*CC(=O)C(=S)C(*)=O,eea,4.8698,3.814863263646922,3.8716719150543217,3.8400412439824674
*CC(=O)C(=S)O*,eea,2.8847,3.974300387382874,3.797382354736328,3.8958891131029514
*CC(=O)CC(*)=O,eea,1.5258,2.171152021797149,1.4845106601715088,1.866827904391139
*CC(=O)CC(*)=S,eea,3.0632,3.2553163865337207,3.297567844390869,3.2740425197673084
*CC(=O)Cc1ccc(*)cc1,eea,1.8209,1.5690617284773436,1.7665910720825195,1.656608075834157
*CC(=O)Cc1ccc(*)s1,eea,1.6069,1.6442102931921048,1.8545408248901367,1.7374302140995757
*CC(=O)NC(*)=S,eea,2.9562,3.0747679408248665,3.3240041732788086,3.185231132683236
*CC(=O)Nc1ccc(*)cc1,eea,1.369,1.1784046012216576,1.6684119701385498,1.3955791968723283
*CC(=O)Nc1ccc(*)s1,eea,1.3272,1.4289047200566003,1.5007493495941162,1.460746748073384
*CC(=O)O*,eea,1.2063,1.086013749187439,1.0583882331848145,1.0737699327714278
*CC(=O)Oc1ccc(*)s1,eea,1.4534,1.600783465532701,1.92921781539917,1.7463478012032096
*CC(=O)c1ccc(-c2ccc(*)s2)cc1,eea,2.4129,2.3751219046782484,2.3559603691101074,2.3666293819060797
*CC(=O)c1ccc(C(*)=O)s1,eea,3.1941,2.7058057936160336,3.185326337814331,2.9183325572903107
*CC(=O)c1ccc(C(*)=S)cc1,eea,3.7473,3.295547955728007,3.212763547897339,3.2588573436326307
*CC(=O)c1ccc(O*)cc1,eea,2.3793,1.7897553023277948,2.43074369430542,2.073845713360214
*CC(=O)c1ccc(O*)s1,eea,2.4711,2.425715600933402,2.4887523651123047,2.4536539231711676
*CC(=S)C(=O)O*,eea,3.8755,3.805378675326363,3.726689338684082,3.770503026608914
*CC(=S)NO*,eea,2.2076,2.495278588011423,2.6421377658843994,2.5603675735967864
*CC(=S)c1ccc(C(*)=S)cc1,eea,2.9742,3.4008807329788073,3.842665672302246,3.59668282014782
*CC(=S)c1ccc(N*)cc1,eea,3.0309,2.8823451315757525,3.0907602310180664,2.9747161198915535
*CC(=S)c1ccc(O*)cc1,eea,3.1915,2.9940873246196915,2.9315309524536133,2.966361915386417
*CC(O*)C(F)(F)F,eea,0.7546,1.41792838830879,0.9977824687957764,1.2317168617633727
*CCC(=O)C(*)=S,eea,3.1911,3.8209075872093186,3.626519680023194,3.7347535458204293
*CCC(=O)N*,eea,1.1904,1.0619728211572883,1.1889801025390625,1.1182633113181737
*CCC(=O)OC(=O)Cc1ccc(-c2ccc(*)cc2)cc1,eea,1.5387,2.1259378497610646,2.386587619781494,2.241459599027304
*CCC(=O)c1ccc(*)s1,eea,2.6933,2.483645027613181,3.052043914794922,2.735563276852657
*CCC(O*)(C(F)(F)F)C(F)(F)F,eea,0.4911,1.6304581649929837,0.7715345621109009,1.2497773875527343
*CCCC(*)=O,eea,1.2346,1.506568932298651,1.4795546531677246,1.4945960202177138
*CCCC(*)=S,eea,2.3997,2.53253457553658,2.92384672164917,2.7059667777768106
*CCCCCCC(=O)N*,eea,0.6934,0.823711566688919,0.9727556705474854,0.8897689263183219
*CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,eea,0.9199,0.7887791187746352,1.2480918169021606,0.9923496277519852
*CCCCCOCO*,eea,0.5413,0.6344022672653497,0.7357487678527832,0.6793197250054991
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,eea,2.4936,1.9715175455554472,1.8722466230392456,1.927519998120642
*CCCc1ccc(*)cc1,eea,0.9937,1.1940909931527004,1.1539595127105713,1.17630444831533
*CCNC(*)=S,eea,1.6837,2.229642672785326,2.1782050132751465,2.2068451525561255
*CCNc1ccc(*)cc1,eea,0.6326,0.7701784954255997,1.0045154094696045,0.8740382081193576
*CCO*,eea,0.3936,0.8811494438794751,0.7805286645889282,0.8365536307495991
*CCOC(=O)CCCCC(=O)O*,eea,1.0754,0.9862073347876044,0.7939319610595703,0.9009895825826377
*CCOC(=O)CCCCCCC(=O)O*,eea,0.8924,1.050099958952286,0.8040796518325806,0.9410620870552253
*CCOC(=O)NCCOCCOCCNC(=O)O*,eea,0.573,0.8265513780688403,1.1332417726516724,0.9624786450009581
*CCOC(=O)c1ccc(C(=O)O*)cc1,eea,2.2723,2.060984235437393,2.243204355239868,2.1417454307740926
*CCOC(=S)NC(=S)c1ccc(N*)cc1,eea,2.6209,3.426418597453464,2.9898953437805176,3.232948525119478
*CCOCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,eea,0.755,1.26144929164648,0.9698073863983154,1.1321916174464748
*CCOCCOC(=O)O*,eea,0.4954,0.745792362015714,0.9054675102233888,0.8165614727417694
*CCc1ccc(-c2ccc(*)s2)cc1,eea,1.6982,1.8020033893376433,1.7518296241760254,1.7797660356722655
*CCc1ccc(-c2ccc(*)s2)s1,eea,1.9411,1.552166074316062,1.717457294464111,1.6254242662889808
*CCc1ccc(C(*)=S)s1,eea,3.3272,2.890363195173718,3.289356231689453,3.0671996202345717
*CCc1ccc(O*)cc1,eea,0.7536,0.8842747241609843,1.395025610923767,1.1106429878793649
*CCc1ccc(O*)s1,eea,0.6627,0.9803857293932396,1.1617358922958374,1.060761353920296
*CNC(=O)C(*)=S,eea,4.0732,3.426001757569934,3.3017048835754395,3.37091253838112
*CNC(=O)NCOCO*,eea,0.7808,0.8223373737166091,0.6242915391921997,0.734562114074681
*CNC(=O)c1ccc(*)s1,eea,1.968,2.406632116216824,2.427968740463257,2.4160886530715895
*CNC(=S)c1ccc(*)s1,eea,2.3974,2.955703374960851,2.7399022579193115,2.860058853454873
*CNCC(*)=O,eea,1.6269,1.7805009867709534,1.4880353212356567,1.6508782164139937
*CNCC(*)=S,eea,2.6857,2.544037671368266,2.515695571899414,2.531476260290624
*CNCCCOCO*,eea,0.6155,0.6145732286552145,0.8222203254699707,0.7066038329876746
*CNCCNC(=O)OC*,eea,0.5903,0.6585807352190035,0.7009812593460083,0.6773729356363416
*CNCN*,eea,0.8689,0.6627770197393829,0.6373060941696167,0.6514881324443011
*CNCO*,eea,0.7624,0.8247972463787315,0.7993426322937012,0.8135155884445262
*CNCc1ccc(*)s1,eea,1.1612,1.1688344326489728,1.46954083442688,1.3021095533069262
*CNOC(*)=S,eea,2.5,2.363396301204034,2.3024260997772217,2.336373893620907
*CNON*,eea,0.9652,0.7829758751585189,1.2160121202468872,0.9749004815925529
*CNc1ccc(N*)cc1,eea,0.54,0.7301630742146707,0.8723978996276855,0.7932025153659206
*CNc1ccc(N*)s1,eea,0.5629,1.13296234860096,1.205195069313049,1.1649763812635103
*CNc1ccc(O*)cc1,eea,0.7695,0.8156742823414785,0.900704026222229,0.8533600426319815
*CNc1ccc(O*)s1,eea,0.8203,1.1960102384272215,1.051043152809143,1.1317598409865617
*CO*,eea,0.9897,0.7143531132514462,0.7131929397583008,0.7138389164755581
*COC(=O)O*,eea,0.7529,1.078772716778943,1.0438790321350098,1.0633075986317226
*COC(=S)O*,eea,2.0771,2.182037683117505,1.601437211036682,1.9247116085373346
*COCOCCCO*,eea,0.6927,0.6146316822298477,0.8884032964706421,0.7359691220214113
*CONC(*)=O,eea,1.2523,1.424328116133438,0.9227546453475952,1.202027345539325
*COc1ccc(-c2ccc(*)cc2)s1,eea,1.6377,1.5287616639357071,2.1449878215789795,1.8018772844443491
*COc1ccc(O*)cc1,eea,0.9466,0.7982033793766685,1.2240363359451294,0.9869354393901786
*COc1ccc(O*)s1,eea,0.8857,1.1527189172137011,1.5223586559295654,1.3165457612252096
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,eea,1.8331,2.056962401300855,2.09895396232605,2.075573346492444
*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,eea,1.9244,1.921862050644316,1.8401572704315183,1.8856499368455726
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,eea,1.9547,2.010577646271358,2.2071728706359863,2.0977099856331405
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,eea,2.0787,2.3855314729945594,2.7893831729888916,2.5645212907251995
*Cc1ccc(-c2ccc(C(*)=S)cc2)cc1,eea,2.7075,2.758715654047427,3.0323832035064697,2.880006971620567
*Cc1ccc(-c2ccc(C(*)=S)cc2)s1,eea,2.9754,2.865626394769811,2.952098846435547,2.9039515729542504
*Cc1ccc(-c2ccc(C(*)=S)s2)s1,eea,3.2587,3.4156363028929326,3.591428279876709,3.4935485016512304
*Cc1ccc(-c2ccc(N*)cc2)cc1,eea,1.1363,1.127685979814164,1.1709445714950562,1.146858481602211
*Cc1ccc(-c2ccc(N*)s2)s1,eea,1.6017,1.741825474099442,1.9297045469284055,1.8250947558717603
*Cc1ccc(-c2ccc(O*)cc2)s1,eea,1.4385,1.641107367620943,2.0565245151519775,1.8252230702905263
*Cc1ccc(C(=O)C(*)=S)cc1,eea,3.3639,3.565935590569052,3.4694948196411133,3.5231923855498914
*Cc1ccc(C(=O)O*)cc1,eea,2.2574,1.850671312288769,1.9486331939697263,1.8940886839300697
*Cc1ccc(C(=O)c2ccc(*)s2)s1,eea,2.8498,2.837895464171895,3.296548843383789,3.041173758525568
*Cc1ccc(C(=S)O*)cc1,eea,2.8319,2.7629525446854686,2.642245292663574,2.709454270347466
*Cc1ccc(C(=S)O*)s1,eea,2.9654,3.12416080172046,3.022061347961426,3.078909630018115
*Cc1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.874,2.9057147012170663,2.8497564792633057,2.880913636994296
*Cc1ccc(C(=S)c2ccc(*)s2)cc1,eea,3.0211,3.2231043397058814,3.1647753715515137,3.197252544657072
*Cc1ccc(CC(*)=S)cc1,eea,2.6743,2.401400934927784,2.4906513690948486,2.4409573338340347
*Cc1ccc(CO*)cc1,eea,1.6106,0.9548337419781876,1.168962001800537,1.0497368417970552
*Cc1ccc(CO*)s1,eea,1.4146,1.2744323673650473,1.609137773513794,1.4227760777935654
*Cc1ccc(Cc2ccc(*)cc2)cc1,eea,1.0649,1.2550342419827896,1.1687339544296265,1.2167853681029488
*Cc1ccc(Cc2ccc(*)s2)s1,eea,1.174,1.3531690811484225,1.7221670150756836,1.5167114729163664
*Cc1ccc(NC(*)=S)cc1,eea,2.0656,2.2286357438066204,2.2558858394622803,2.240713171373763
*Cc1ccc(NC(*)=S)s1,eea,2.0497,2.2041951605815657,2.176438808441162,2.19189335670022
*Cc1ccc(NO*)cc1,eea,0.7333,1.2709624900164316,1.3060572147369385,1.2865167104917166
*Cc1ccc(NO*)s1,eea,1.3873,1.0112739162436744,1.6482574939727783,1.293589366387238
*Cc1ccc(Nc2ccc(*)cc2)cc1,eea,0.9546,1.1081619342649378,1.1312607526779177,1.1183994875489538
*Cc1ccc(Nc2ccc(*)s2)cc1,eea,0.9705,1.149492536819461,1.2145755290985107,1.178337761255944
*Cc1ccc(OC(*)=S)cc1,eea,2.2773,2.187906836542765,2.2166590690612793,2.2006500213749947
*Cc1ccc(Oc2ccc(*)s2)cc1,eea,1.0627,1.2194235483612543,1.495197057723999,1.3416482416743425
*Cc1ccc(Oc2ccc(*)s2)s1,eea,1.2199,1.342865968081726,1.1122806072235107,1.2406689692528365
*NC(=O)C(=S)O*,eea,4.3681,3.650489562040884,3.847930669784546,3.737996802664285
*NC(=O)C(=S)c1ccc(*)cc1,eea,3.6154,3.845380010309293,4.026120185852051,3.925485284293422
*NC(=O)C(=S)c1ccc(*)s1,eea,3.9034,3.812114752601518,3.344585418701172,3.6049025748151546
*NC(=O)NC(*)=S,eea,3.7029,3.416595279349275,3.3759002685546875,3.3985589740303377
*NC(=O)NC(=O)c1ccc(C(=S)c2ccc(-c3ccc(*)s3)s2)s1,eea,2.9241,3.956305822908587,3.4737906455993652,3.7424518174901196
*NC(=O)NO*,eea,1.9635,1.4480566343932224,1.6806496381759644,1.5511434342087966
*NC(=O)OC(*)=S,eea,3.7701,2.994957327237944,4.011620044708252,3.445549152148181
*NC(=O)c1ccc(-c2ccc(*)cc2)cc1,eea,2.3815,1.8581378082738,2.0494871139526367,1.9429451208264528
*NC(=O)c1ccc(-c2ccc(*)s2)cc1,eea,2.1302,2.196839694449989,2.358192443847656,2.2683523294232506
*NC(=O)c1ccc(C(*)=O)s1,eea,3.408,3.209815281023665,3.595254898071289,3.38064473847671
*NC(=O)c1ccc(NC(=S)c2ccc(Nc3ccc(*)cc3)cc2)s1,eea,2.5831,3.108718196094117,2.799736976623535,2.9717756200049075
*NC(=S)C(=O)O*,eea,4.0646,4.461671303008584,3.906936645507813,4.215809133216243
*NC(=S)NC(*)=S,eea,4.2115,3.3506278291322085,3.665270566940307,3.4900796286203164
*NC(=S)Nc1ccc(NC(=S)Nc2ccc(Oc3ccc(*)cc3)cc2)cc1,eea,2.2298,2.879349907575614,2.110023260116577,2.538379109616982
*NC(=S)OC(*)=S,eea,4.0637,3.6025595488256648,3.5871973037719727,3.595750897426816
