canon,target_type,y_true,y_pred_chemprop,y_pred_lgb,y_pred_blend
*/C=C\C(C#N)C*,egc,5.3057,5.592665672302246,4.7006921477083825,5.190139734152142
*=CC1OC(C=*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,egc,5.0857,4.488565444946289,4.957530588946123,4.700197998316282
*=CC1OC(C=*)C2C(=O)N(c3cccc(C(F)(F)F)c3)C(=O)C12,egc,5.0879,4.490455150604248,4.851758255700358,4.653502446656647
*C#CC#CCCCCCCCC*,egc,5.4216,4.292788982391357,6.092274662062896,5.1048530643687595
*C#CC#Cc1cc(C(C)(C)C)cc2c3cc(C(C)(C)C)cc(*)c3n(CCCCCCCCCCCCCCCC)c12,tg,67.0,79.2994384765625,82.4000856072912,80.7387681645115
*C#CC(=C(*)c1cnc2ccccc2c1)c1cnc2ccccc2c1,egb,0.5725,2.03222131729126,2.213098274339082,2.0741795830742737
*C#CC(COS(=O)(=O)c1ccc(C)cc1)=C(*)COS(=O)(=O)c1ccc(C)cc1,tg,-73.0,108.35775756835938,88.32077569591176,99.05653055026531
*C#CC=C*,egc,1.1342,2.447744846343994,4.0611673880155745,3.1758431635161166
*C#Cc1c(F)c(F)c(C#Cc2cc(CCCCCC)c(*)s2)c(F)c1F,egc,2.8156,2.154690742492676,2.1193183833788143,2.1387280579013677
*C#Cc1cc(C(C)(C)C)cc2c3cc(C(C)(C)C)cc(*)c3n(CCCCCCCCCCCCCCCC)c12,tg,80.0,79.07192993164062,70.92868346745036,75.29181052494111
*C#Cc1cc(CCCCCC)c(*)s1,egc,1.5751,2.5252785682678223,2.4989628414644627,2.5134029213707385
*C#Cc1cc(OCC(CC)CCCC)c(C#Cc2cc(OCCNCCCC)c(*)cc2OCCNCCCC)cc1OCC(CC)CCCC,egc,2.9566,2.503955125808716,3.64177423757577,3.017425192779247
*C#Cc1cc(OCCCCCC)c(C#Cc2ccc3c(-c4c(O)ccc5cc(*)ccc45)c(O)ccc3c2)cc1OCCCCCC,egc,3.0868,2.412414073944092,2.698337915420166,2.541444543298036
*C#Cc1cccc(C#C[SiH](*)C)c1,tg,72.0,33.02772521972656,79.295934319147,54.5055665080955
*C#Cc1cccc(C#C[Si](*)(C)C)c1,tg,50.0,113.15576171875,94.67509054432296,104.57697878954752
*C#Cc1ccccc1C#C[SiH](*)c1ccccc1,tg,71.0,78.38652801513672,115.96124641534904,95.8288248743213
*C#Cc1sc(-c2sc(*)c3c2OCCO3)c2c1OCCO2,egc,1.7209,1.3985860347747805,2.439114838650453,1.8681513541523578
*C(*)(F)Cl,egc,3.6564,5.867991924285889,6.689244494099055,6.238603217118541
*C(*)(F)Cl,tg,77.0,-85.82029724121094,12.986557190307622,-39.95385937837801
*C(*)(F)F,egc,7.2027,4.284261703491211,6.217802980373065,5.156821813146032
*C(*)C,egb,7.4047,7.065612316131592,7.776989804616555,7.230631488396929
*C(*)C(=O)OC,tg,80.25,106.28970336914062,33.663092085353426,72.57621281424503
*C(*)C(=O)OC(C)C,tg,70.0,51.23845672607422,56.9238469602325,53.877631906797255
*C(*)C(=O)OC1CCCCC1,tg,140.0,90.55827331542967,79.01737437995838,85.20095345183756
*C(*)C(=O)OCC,tg,12.35,72.6667251586914,25.344491051434083,50.69960230371487
*C(*)F,egc,6.7608,6.133509635925293,6.326928355672566,6.220794795714663
*C(*)O,egc,6.4482,5.810612678527832,6.064699698523319,5.925275965358029
*C(=C(*)c1ccc(C(C)(C)C)cc1)c1ccccc1,tg,200.0,221.3151092529297,233.1594908698997,226.81330668653953
*C(=C(*)c1ccc(CCCC)cc1)c1ccccc1,tg,200.0,165.0570068359375,119.8351814896179,144.0649000208337
*C(=C(*)c1ccc(Oc2ccccc2)cc1)c1ccccc1,tg,200.0,156.26809692382812,165.72379009532793,160.657458024289
*C(=C(*)c1ccc([Si](C(C)C)(C(C)C)C(C)C)cc1)c1ccccc1,tg,250.0,188.7666015625,179.37272012176894,184.40593365265642
*C(=C(*)c1ccc([Si](C)(C)C)cc1)c1ccccc1,tg,200.0,217.2605743408203,208.4953752239732,213.19174264932198
*C(=C(*)c1ccc[c]([Ge]([CH3])([CH3])[CH3])c1)c1ccccc1,tg,200.0,218.5501251220703,167.46921937661034,194.8382156312648
*C(=C(*)c1cccc([Si](C)(C)C)c1)c1ccccc1,tg,200.0,188.12657165527344,187.1898245399977,187.69173083776963
*C(=C(C#N)c1ccc(C(=O)OC2CCN(*)CC2)cc1)c1ccc(OC)cc1,tg,183.0,161.53839111328125,160.12616233534996,160.8828302833797
*C(=C([2H])C([2H])([2H])C(*)([2H])[2H])C([2H])([2H])[2H],tg,-58.0,17.40772247314453,1.6927846069110772,10.112801232033231
*C(=Cc1cc(OC)c(C=C(c2ccc(*)cc2)c2ccc(F)cc2)cc1OC)c1ccc(F)cc1,tg,193.0,196.67491149902344,179.96630748912105,188.91872745689278
*C(=Cc1cc(OC)c(C=C(c2ccc(*)cc2)c2ccc(OC)cc2)cc1OC)c1ccc(OC)cc1,tg,170.0,197.31053161621097,174.24835813888953,186.60500159134241
*C(=Cc1cc(OC)c(C=C(c2ccc(F)cc2)c2ccc(-c3ccc(*)cc3)cc2)cc1OC)c1ccc(F)cc1,tg,201.0,194.22097778320312,199.59680772261328,196.7164541476289
*C(=Cc1cc(OC)c(C=C(c2ccc(F)cc2)c2ccc3cc(*)ccc3c2)cc1OC)c1ccc(F)cc1,tg,208.0,185.33055114746097,211.56985743928735,197.51091574384657
*C(=Cc1cc(OC)c(C=C(c2ccccc2)c2ccc3cc(*)ccc3c2)cc1OC)c1ccccc1,tg,198.0,183.73768615722656,209.0949534923709,195.50860562723892
*C(=Cc1ccc(C=C(c2ccccc2)c2ccc(-c3ccc(*)cc3)cc2)cc1)c1ccccc1,tg,220.0,221.73141479492188,235.40499035374577,228.0787295367976
*C(=NCCCCCC)N(*)CCCCCC,egc,4.3588,4.230038642883301,4.74915543740091,4.46430341527979
*C(=Nc1ccccc1)c1ccc(-c2ccc(*)cc2)cc1,tg,225.0,190.20571899414065,215.8848872122245,202.12606581846245
*C(=O)C(=S)OC(*)=S,egb,1.4146,1.2105872631072998,1.6784503954415926,1.3191180896811086
*C(=O)C(=S)OC(*)=S,eps,6.46,6.54500675201416,6.246024288167895,6.381145238355766
*C(=O)C(=S)OC(*)=S,nc,2.3004,2.199003219604492,2.267802807204184,2.2232051604210787
*C(=O)C(F)(F)C(=O)C(*)(F)F,egb,3.1408,3.433353900909424,4.403450614482631,3.658388512325243
*C(=O)C(F)(F)CC(*)(F)F,eea,3.352,3.3431954383850098,1.732175533486935,2.9395315300244778
*C(=O)C(F)(F)CC(*)(F)F,egb,4.9978,4.869556427001953,5.097359438204716,4.922400191327827
*C(=O)C(F)(F)CC(*)(F)F,egc,4.9534,5.43813943862915,6.550816077184346,5.940263319487683
*C(=O)C(F)(F)CC(*)(F)F,ei,8.1829,8.365303039550781,8.290758455436618,8.334217581906561
*C(=O)C(F)(F)CC(*)(F)F,nc,1.6107,1.580798625946045,1.615343923976861,1.5929507810330454
*C(=O)C(F)(F)NC(*)(F)F,egb,5.0875,4.688623428344727,4.739955074618209,4.700530897889633
*C(=O)C(F)(F)NC(*)(F)F,egc,4.8818,5.309367656707764,5.51930548500145,5.404107488055997
*C(=O)C(F)(F)NC(*)(F)F,ei,8.5584,8.384578704833984,8.410772749762739,8.395501750201259
*C(=O)C(O)c1ccc(*)s1,egc,4.0132,4.318220615386963,4.060431764652068,4.201886782458516
*C(=O)C1C2C=CC(C2)C1*,tg,85.5,174.69920349121094,123.06924885941068,150.73242386235808
*C(=O)C1CC(OC(=O)CCC)CN1*,egc,5.4104,5.275478363037109,5.597109908394053,5.420622849912345
*C(=O)C1CC(OC(C)=O)CN1*,egc,4.1614,5.666684627532959,5.631516730638539,5.650814211764018
*C(=O)C1CCCN1*,egc,5.5773,4.86018705368042,5.120262916726917,4.977552959591872
*C(=O)CC(F)(F)C(*)(F)F,egb,5.0395,5.3827972412109375,5.302668896207968,5.364209763561704
*C(=O)CC(F)(F)C(*)(F)F,ei,7.9225,7.973153591156006,8.31278743407753,8.1147825715057
*C(=O)CC(F)(F)C(*)(F)F,nc,1.6044,1.6275556087493896,1.6143907149825305,1.622924534771795
*C(=O)CCC1(CCC(=O)N2CCN(*)CC2)c2ccccc2-c2ccccc21,tg,145.0,126.89503479003906,144.2258462213396,134.94004938138156
*C(=O)CCCCC(=O)N1CCN(*)CC1,egc,5.6091,5.488725185394287,5.405506955015664,5.451170823823299
*C(=O)CCCCCCCCC(=O)N1CC(C)N(*)CC1C,tg,-60.5,73.37041473388672,75.79654344473153,74.49663095039752
*C(=O)CCCCCCCCC(=O)N1CCN(*)CC1,tg,70.4,37.028175354003906,4.6105930870843,21.979836539215764
*C(=O)CCCCCCCCC(=O)NC1CCCCN(*)C1,tg,-46.5,78.90589141845703,67.90720906278679,73.80027011574643
*C(=O)CCN(C)CCN(C)CCC(=O)N1CCN(*)CC1,egc,4.9845,4.764955043792725,5.243171902293315,4.980762670700477
*C(=O)CCN1CCN(CCC(=O)N2CCN(*)C(C)C2)CC1,egc,4.9509,4.995598316192627,4.817117924539196,4.915054460225145
*C(=O)CNC(=O)C1CCCN1C(=O)C1CCCN1*,egc,5.248,5.203634738922119,5.39710403581687,5.290942722946936
*C(=O)COCC(=O)N1CCN(*)CC1,egc,5.5847,5.100759983062744,5.570739382462984,5.312850245204708
*C(=O)N(*)C(C)C(C)=O,egc,4.4468,4.937380790710449,5.26239840488918,5.084053328017172
*C(=O)N1C(=O)N(C(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)C(C)(C)C1=O,tg,156.0,233.6516876220703,263.09763713245303,247.32058560794994
