canon,target_type,y_true,y_pred_chemprop,y_pred_lgb,y_pred_cat,y_pred_blend
*/C=C\C(C#N)C*,egc,5.3057,5.592665672302246,4.7006921477083825,4.856296176160779,5.192385223864628
*=CC1OC(C=*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,egc,5.0857,4.488565444946289,4.957530588946123,4.758795260146669,4.667234673091819
*=CC1OC(C=*)C2C(=O)N(c3cccc(C(F)(F)F)c3)C(=O)C12,egc,5.0879,4.490455150604248,4.851758255700358,4.788607397680919,4.652559770012244
*C#CC#CCCCCCCCC*,egc,5.4216,4.292788982391357,6.092274662062896,5.548403125915905,5.037816718021004
*C#CC#Cc1cc(C(C)(C)C)cc2c3cc(C(C)(C)C)cc(*)c3n(CCCCCCCCCCCCCCCC)c12,tg,67.0,79.2994384765625,82.4000856072912,83.28671959103077,81.16964169160003
*C#CC(=C(*)c1cnc2ccccc2c1)c1cnc2ccccc2c1,egb,0.5725,2.03222131729126,2.213098274339082,2.5223012539501406,2.0741795830742737
*C#CC(COS(=O)(=O)c1ccc(C)cc1)=C(*)COS(=O)(=O)c1ccc(C)cc1,tg,-73.0,108.35775756835938,88.32077569591176,104.0933100798313,102.92459824710443
*C#CC=C*,egc,1.1342,2.447744846343994,4.0611673880155745,4.305236411536259,3.3146319317472397
*C#Cc1c(F)c(F)c(C#Cc2cc(CCCCCC)c(*)s2)c(F)c1F,egc,2.8156,2.154690742492676,2.1193183833788143,2.2909978772738033,2.183806061171924
*C#Cc1cc(C(C)(C)C)cc2c3cc(C(C)(C)C)cc(*)c3n(CCCCCCCCCCCCCCCC)c12,tg,80.0,79.07192993164062,70.92868346745036,58.09053822082883,70.90869188462594
*C#Cc1cc(CCCCCC)c(*)s1,egc,1.5751,2.5252785682678223,2.4989628414644627,2.6651813892769836,2.5574031769220307
*C#Cc1cc(OCC(CC)CCCC)c(C#Cc2cc(OCCNCCCC)c(*)cc2OCCNCCCC)cc1OCC(CC)CCCC,egc,2.9566,2.503955125808716,3.64177423757577,3.354696476561541,2.9904811199406174
*C#Cc1cc(OCCCCCC)c(C#Cc2ccc3c(-c4c(O)ccc5cc(*)ccc45)c(O)ccc3c2)cc1OCCCCCC,egc,3.0868,2.412414073944092,2.698337915420166,2.645839353764626,2.540012739414312
*C#Cc1cccc(C#C[SiH](*)C)c1,tg,72.0,33.02772521972656,79.295934319147,71.54950105340697,54.44515886603969
*C#Cc1cccc(C#C[Si](*)(C)C)c1,tg,50.0,113.15576171875,94.67509054432296,90.28847337731182,102.28667372593654
*C#Cc1ccccc1C#C[SiH](*)c1ccccc1,tg,71.0,78.38652801513672,115.96124641534904,122.0567702950238,99.61196063753236
*C#Cc1sc(-c2sc(*)c3c2OCCO3)c2c1OCCO2,egc,1.7209,1.3985860347747805,2.439114838650453,2.0641185274365936,1.8129405755047348
*C(*)(F)Cl,egc,3.6564,5.867991924285889,6.689244494099055,6.35718236283896,6.185217022664917
*C(*)(F)Cl,tg,77.0,-85.82029724121094,12.986557190307622,20.42568445703111,-32.663226454092865
*C(*)(F)F,egc,7.2027,4.284261703491211,6.217802980373065,6.431917990562825,5.301842292967647
*C(*)C,egb,7.4047,7.065612316131592,7.776989804616555,7.320811838041993,7.230631488396929
*C(*)C(=O)OC,tg,80.25,106.28970336914062,33.663092085353426,45.11867523331467,72.45325930624958
*C(*)C(=O)OC(C)C,tg,70.0,51.23845672607422,56.9238469602325,61.04429478938064,55.43951351570563
*C(*)C(=O)OC1CCCCC1,tg,140.0,90.55827331542967,79.01737437995838,91.14192176988529,88.36937991546935
*C(*)C(=O)OCC,tg,12.35,72.6667251586914,25.344491051434083,35.559837460271154,51.470635612903436
*C(*)F,egc,6.7608,6.133509635925293,6.326928355672566,6.263114780339143,6.212133683923864
*C(*)O,egc,6.4482,5.810612678527832,6.064699698523319,5.979588253721445,5.913549731433796
*C(=C(*)c1ccc(C(C)(C)C)cc1)c1ccccc1,tg,200.0,221.3151092529297,233.1594908698997,241.0296147135221,229.84627198707312
*C(=C(*)c1ccc(CCCC)cc1)c1ccccc1,tg,200.0,165.0570068359375,119.8351814896179,129.43201835789296,144.75063156155196
*C(=C(*)c1ccc(Oc2ccccc2)cc1)c1ccccc1,tg,200.0,156.26809692382812,165.72379009532793,194.477490118958,170.03089340047822
*C(=C(*)c1ccc([Si](C(C)C)(C(C)C)C(C)C)cc1)c1ccccc1,tg,250.0,188.7666015625,179.37272012176894,172.90344911471544,181.93010591819439
*C(=C(*)c1ccc([Si](C)(C)C)cc1)c1ccccc1,tg,200.0,217.2605743408203,208.4953752239732,217.3693175173426,215.49463186927176
*C(=C(*)c1ccc[c]([Ge]([CH3])([CH3])[CH3])c1)c1ccccc1,tg,200.0,218.5501251220703,167.46921937661034,167.7644557144024,192.35032016451675
*C(=C(*)c1cccc([Si](C)(C)C)c1)c1ccccc1,tg,200.0,188.12657165527344,187.1898245399977,200.03333957408933,191.61803305730595
*C(=C(C#N)c1ccc(C(=O)OC2CCN(*)CC2)cc1)c1ccc(OC)cc1,tg,183.0,161.53839111328125,160.12616233534996,142.51892740911737,155.3640933660539
*C(=C([2H])C([2H])([2H])C(*)([2H])[2H])C([2H])([2H])[2H],tg,-58.0,17.40772247314453,1.6927846069110772,25.311223639690667,16.626514401155717
*C(=Cc1cc(OC)c(C=C(c2ccc(*)cc2)c2ccc(F)cc2)cc1OC)c1ccc(F)cc1,tg,193.0,196.67491149902344,179.96630748912105,164.54944199539855,183.30529716552468
*C(=Cc1cc(OC)c(C=C(c2ccc(*)cc2)c2ccc(OC)cc2)cc1OC)c1ccc(OC)cc1,tg,170.0,197.31053161621097,174.24835813888953,172.10101278939734,184.7761608740939
*C(=Cc1cc(OC)c(C=C(c2ccc(F)cc2)c2ccc(-c3ccc(*)cc3)cc2)cc1OC)c1ccc(F)cc1,tg,201.0,194.22097778320312,199.59680772261328,200.61069646867736,197.3015797117775
*C(=Cc1cc(OC)c(C=C(c2ccc(F)cc2)c2ccc3cc(*)ccc3c2)cc1OC)c1ccc(F)cc1,tg,208.0,185.33055114746097,211.56985743928735,218.187950522208,200.88336600145766
*C(=Cc1cc(OC)c(C=C(c2ccccc2)c2ccc3cc(*)ccc3c2)cc1OC)c1ccccc1,tg,198.0,183.73768615722656,209.0949534923709,224.2884465294767,201.4896261661304
*C(=Cc1ccc(C=C(c2ccccc2)c2ccc(-c3ccc(*)cc3)cc2)cc1)c1ccccc1,tg,220.0,221.73141479492188,235.40499035374577,234.11044828501863,228.36863888625763
*C(=NCCCCCC)N(*)CCCCCC,egc,4.3588,4.230038642883301,4.74915543740091,4.8001520215036555,4.501474639770019
*C(=Nc1ccccc1)c1ccc(-c2ccc(*)cc2)cc1,tg,225.0,190.20571899414065,215.8848872122245,220.06959269863663,204.71737728144052
*C(=O)C(=S)OC(*)=S,egb,1.4146,1.2105872631072998,1.6784503954415926,2.0037435215599007,1.3191180896811086
*C(=O)C(=S)OC(*)=S,eps,6.46,6.54500675201416,6.246024288167895,5.891469147758044,6.381145238355766
*C(=O)C(=S)OC(*)=S,nc,2.3004,2.199003219604492,2.267802807204184,2.2086765311554943,2.217988838264307
*C(=O)C(F)(F)C(=O)C(*)(F)F,egb,3.1408,3.433353900909424,4.403450614482631,4.823615023393828,3.658388512325243
*C(=O)C(F)(F)CC(*)(F)F,eea,3.352,3.3431954383850098,1.732175533486935,1.8910116355768205,2.911243997363758
*C(=O)C(F)(F)CC(*)(F)F,egb,4.9978,4.869556427001953,5.097359438204716,5.258255568376384,4.922400191327827
*C(=O)C(F)(F)CC(*)(F)F,egc,4.9534,5.43813943862915,6.550816077184346,6.203685306841136,5.895866571217675
*C(=O)C(F)(F)CC(*)(F)F,ei,8.1829,8.365303039550781,8.290758455436618,8.05303519168722,8.259033555393133
*C(=O)C(F)(F)CC(*)(F)F,nc,1.6107,1.580798625946045,1.615343923976861,1.630099850075529,1.594671948193866
*C(=O)C(F)(F)NC(*)(F)F,egb,5.0875,4.688623428344727,4.739955074618209,5.243387723206405,4.700530897889633
*C(=O)C(F)(F)NC(*)(F)F,egc,4.8818,5.309367656707764,5.51930548500145,5.656239300374539,5.450755691572594
*C(=O)C(F)(F)NC(*)(F)F,ei,8.5584,8.384578704833984,8.410772749762739,8.202598006347852,8.332208938196594
*C(=O)C(O)c1ccc(*)s1,egc,4.0132,4.318220615386963,4.060431764652068,3.979077322751791,4.16819768935665
*C(=O)C1C2C=CC(C2)C1*,tg,85.5,174.69920349121094,123.06924885941068,128.9766425971318,149.95312714709658
*C(=O)C1CC(OC(=O)CCC)CN1*,egc,5.4104,5.275478363037109,5.597109908394053,5.639515265835936,5.446591366077541
*C(=O)C1CC(OC(C)=O)CN1*,egc,4.1614,5.666684627532959,5.631516730638539,5.582043480393063,5.635787190224392
*C(=O)C1CCCN1*,egc,5.5773,4.86018705368042,5.120262916726917,5.189642096687966,5.008089602462998
*C(=O)CC(F)(F)C(*)(F)F,egb,5.0395,5.3827972412109375,5.302668896207968,5.374023201749776,5.364209763561704
*C(=O)CC(F)(F)C(*)(F)F,ei,7.9225,7.973153591156006,8.31278743407753,8.302691096748553,8.12113068305015
*C(=O)CC(F)(F)C(*)(F)F,nc,1.6044,1.6275556087493896,1.6143907149825305,1.6045716185352106,1.6218588618578125
*C(=O)CCC1(CCC(=O)N2CCN(*)CC2)c2ccccc2-c2ccccc21,tg,145.0,126.89503479003906,144.2258462213396,164.3446988055731,142.03962508391453
*C(=O)CCCCC(=O)N1CCN(*)CC1,egc,5.6091,5.488725185394287,5.405506955015664,5.347294718821472,5.431610811134267
*C(=O)CCCCCCCCC(=O)N1CC(C)N(*)CC1C,tg,-60.5,73.37041473388672,75.79654344473153,81.01493102358478,76.23362907905096
*C(=O)CCCCCCCCC(=O)N1CCN(*)CC1,tg,70.4,37.028175354003906,4.6105930870843,7.732800827516229,21.308936532324594
*C(=O)CCCCCCCCC(=O)NC1CCCCN(*)C1,tg,-46.5,78.90589141845703,67.90720906278679,77.88242944644587,76.33110349903308
*C(=O)CCN(C)CCN(C)CCC(=O)N1CCN(*)CC1,egc,4.9845,4.764955043792725,5.243171902293315,5.335890800147844,5.027438465977431
*C(=O)CCN1CCN(CCC(=O)N2CCN(*)C(C)C2)CC1,egc,4.9509,4.995598316192627,4.817117924539196,5.251349391671827,5.025074101183254
*C(=O)CNC(=O)C1CCCN1C(=O)C1CCCN1*,egc,5.248,5.203634738922119,5.39710403581687,5.148115094110394,5.231949123376506
*C(=O)COCC(=O)N1CCN(*)CC1,egc,5.5847,5.100759983062744,5.570739382462984,5.437081136177158,5.297621851641289
*C(=O)N(*)C(C)C(C)=O,egc,4.4468,4.937380790710449,5.26239840488918,5.3644168195837745,5.126378031418093
*C(=O)N1C(=O)N(C(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)C(C)(C)C1=O,tg,156.0,233.6516876220703,263.09763713245303,265.4691252284732,249.54111007195232
*C(=O)N1C(=S)N(C(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)C(C)=C(C(=O)OCC)C1c1ccccc1,tg,155.0,225.5067443847656,244.14788383041596,217.99586573126277,227.01020375964626
*C(=O)N1CC(=O)N(C(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)C1=O,egc,3.533,3.5197505950927734,3.1492780027856373,3.0065002141450288,3.2971203245646246
*C(=O)NC(=O)c1ccc(*)cc1,egc,4.4505,3.6217503547668457,4.323693870451945,4.177753037442979,3.9303688862742696
*C(=O)NC(=O)c1ccc(*)cc1,eps,4.45,4.8753252029418945,4.443397910105509,4.442646280430605,4.638601419600089
*C(=O)NC(=O)c1ccc(*)cc1,nc,1.8899,1.993708848953247,1.9343187898115592,1.941525369979924,1.973039145130362
*C(=O)NC(F)(F)C(*)(F)F,egb,5.4991,6.122931480407715,5.019830192938217,5.489670176583269,5.867043622934569
*C(=O)NC(F)(F)C(*)(F)F,egc,5.8517,6.054191589355469,5.8512103567230165,6.19599108284363,6.0471959227357654
*C(=O)NC(F)(F)C(*)(F)F,ei,8.3456,7.374719142913818,8.497224375942611,7.704037437158306,7.6301163431269465
*C(=O)NC(F)(F)C(*)(F)F,eps,3.53,4.082515716552734,4.150018297304847,3.860031068662045,4.119511448394642
*C(=O)NC1CCC(CC2CCC(NC(=O)c3ccc(N4C(=O)c5ccc(*)cc5C4=O)cc3)CC2)CC1,tg,275.0,250.23947143554688,227.6947675240956,229.49207695593847,239.19186059481729
*C(=O)NC1CCCC(*)O1,egc,6.2047,5.977442264556885,5.832895626052672,6.028738001897568,5.958955783656087
*C(=O)NC1CCCC(*)O1,tg,145.0,129.14767456054688,140.27288491498194,166.03748168233938,142.84497895607
*C(=O)NCCCCCCCCCCNC(=O)c1ccc(*)nc1,egc,4.5311,4.991860389709473,4.658198190881885,4.643863329575605,4.822408230340656
*C(=O)NCCCCCCNC(=O)C1=COC=C(*)O1,egc,4.4645,4.0785322189331055,4.682262860742471,4.4372853735379,4.311499394203382
*C(=O)NCCCCCCNC(=O)C1COC(*)CO1,egc,5.8235,5.688262462615967,5.868104065437185,5.898152493169916,5.785663620363904
*C(=O)NCCCCCCNC(=O)N1CCN(*)CC1,egc,5.4634,5.548200607299805,5.5840836193483865,5.355289479786044,5.5038136395542665
*C(=O)NCCCCCCNC(=O)c1cc(O)cc(*)n1,egc,4.8984,5.070749759674072,4.570971236558057,4.725017697764358,4.864644208318353
*C(=O)NCCCCCCNC(=O)c1ccc(*)nc1,egc,4.574,4.719998359680176,4.823562528987045,4.774700883605704,4.758102879693752
*C(=O)NCCCCCCNC(=O)c1cccc(*)n1,egc,4.786,4.959201335906982,4.915663571162297,4.753050992793079,4.893397188833232
*C(=O)NCCCCCCNC(=O)c1cncc(*)c1,egc,4.9388,5.063163757324219,4.741247183116218,4.86721248902691,4.937676198371525
*C(=O)NCCCCCCNC(=O)c1cnn(*)c1,egc,5.1584,4.818470001220703,4.173145034608517,4.2046367681525965,4.50683451592339
*C(=O)NCCN(CCNC(=O)c1ccc(N2C(=O)c3ccc(*)cc3C2=O)cc1)c1ccc(C=Cc2ccc([N+](=O)[O-])cc2)cc1,tg,178.0,188.2732696533203,187.8000315936017,199.58066758811975,191.67445768016822
*C(=O)NCCN(CCNC(=O)c1cccc(N2C(=O)c3ccc(*)cc3C2=O)c1)c1ccc(C=Cc2ccc([N+](=O)[O-])cc2)cc1,tg,178.0,193.52493286132812,184.97435862535048,195.903270555335,192.50523548238746
*C(=O)NCCNC(=O)c1ccc(N2C(=O)c3ccc(*)cc3C2=O)cc1,tg,235.0,225.57611083984375,250.4411204379683,247.25001257900016,237.38675266317236
*C(=O)NNC(=O)C(=O)NNC(=O)c1cncc(*)n1,egc,4.3374,3.896454334259033,4.135513351248336,3.994095180092553,3.976629419233215
