canon,target_type,y_true,y_pred_chemprop,y_pred_lgb,y_pred_blend
*/C=C\C(C#N)C*,egc,5.3057,5.528832912445068,5.127174259025916,5.3442178779221425
*=CC1OC(C=*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,egc,5.0857,4.890029430389404,4.985146046624854,4.933748038816065
*=CC1OC(C=*)C2C(=O)N(c3cccc(C(F)(F)F)c3)C(=O)C12,egc,5.0879,4.899231910705566,4.613779854514598,4.768029107629538
*C#CC#CCCCCCCCC*,egc,5.4216,4.14666223526001,5.976764395120498,4.987835133060239
*C#CC#Cc1cc(C(C)(C)C)cc2c3cc(C(C)(C)C)cc(*)c3n(CCCCCCCCCCCCCCCC)c12,tg,67.0,87.08261108398438,65.1494624457764,76.60533893700389
*C#CC(=C(*)c1cnc2ccccc2c1)c1cnc2ccccc2c1,egb,0.5725,2.1751818656921387,2.443947267150484,2.259419734415854
*C#CC(COS(=O)(=O)c1ccc(C)cc1)=C(*)COS(=O)(=O)c1ccc(C)cc1,tg,-73.0,79.50177764892578,89.9779454101698,84.5061508240918
*C#CC=C*,egc,1.1342,1.7618910074234009,4.24981922964795,2.9054215917308532
*C#Cc1c(F)c(F)c(C#Cc2cc(CCCCCC)c(*)s2)c(F)c1F,egc,2.8156,2.095245361328125,2.67279479369707,2.3607053669519082
*C#Cc1cc(C(C)(C)C)cc2c3cc(C(C)(C)C)cc(*)c3n(CCCCCCCCCCCCCCCC)c12,tg,80.0,67.82530975341797,80.4623304950854,73.86190338716744
*C#Cc1cc(CCCCCC)c(*)s1,egc,1.5751,2.6574902534484863,3.2393482261456485,2.924930600625143
*C#Cc1cc(OCC(CC)CCCC)c(C#Cc2cc(OCCNCCCC)c(*)cc2OCCNCCCC)cc1OCC(CC)CCCC,egc,2.9566,2.9473822116851807,3.457163940327977,3.181694034999328
*C#Cc1cc(OCCCCCC)c(C#Cc2ccc3c(-c4c(O)ccc5cc(*)ccc45)c(O)ccc3c2)cc1OCCCCCC,egc,3.0868,2.8268308639526367,2.60547870613195,2.7250904037137644
*C#Cc1cccc(C#C[SiH](*)C)c1,tg,72.0,46.50532913208008,71.061478196262,58.23558550662838
*C#Cc1cccc(C#C[Si](*)(C)C)c1,tg,50.0,101.42462921142578,75.32232187344478,88.95578663185454
*C#Cc1ccccc1C#C[SiH](*)c1ccccc1,tg,71.0,92.100830078125,127.59584072624496,109.05648439637835
*C#Cc1sc(-c2sc(*)c3c2OCCO3)c2c1OCCO2,egc,1.7209,1.4141381978988647,2.3176144014073388,1.8294044671090528
*C(*)(F)Cl,egc,3.6564,6.579475402832031,6.2468641952431465,6.426596760609291
*C(*)(F)Cl,tg,77.0,-15.756790161132812,-3.0335869643161137,-9.679027926751116
*C(*)(F)F,egc,7.2027,4.206876277923584,6.396093479942054,5.213109819485201
*C(*)C,egb,7.4047,6.768763065338135,7.628376629923047,7.038187679569413
*C(*)C(=O)OC,tg,80.25,93.27474212646484,67.57054689961767,80.99607419997974
*C(*)C(=O)OC(C)C,tg,70.0,48.69328308105469,62.744964127231874,55.40564749675468
*C(*)C(=O)OC1CCCCC1,tg,140.0,91.41434478759766,97.97843157298708,94.54995129724026
*C(*)C(=O)OCC,tg,12.35,59.336395263671875,25.44921740174746,43.148788522430046
*C(*)F,egc,6.7608,5.936694622039795,6.399808356290988,6.149556357518462
*C(*)O,egc,6.4482,6.862986087799072,6.017905190873097,6.474560150420238
*C(=C(*)c1ccc(C(C)(C)C)cc1)c1ccccc1,tg,200.0,231.1681365966797,217.6737630830341,224.7219930863414
*C(=C(*)c1ccc(CCCC)cc1)c1ccccc1,tg,200.0,153.38636779785156,167.41624211220466,160.08831532960454
*C(=C(*)c1ccc(Oc2ccccc2)cc1)c1ccccc1,tg,200.0,171.6760711669922,184.08771312068444,177.60500333650214
*C(=C(*)c1ccc([Si](C(C)C)(C(C)C)C(C)C)cc1)c1ccccc1,tg,250.0,165.7102508544922,193.26659078036252,178.87367200940565
*C(=C(*)c1ccc([Si](C)(C)C)cc1)c1ccccc1,tg,200.0,216.9943084716797,208.7832727589431,213.07196894852285
*C(=C(*)c1ccc[c]([Ge]([CH3])([CH3])[CH3])c1)c1ccccc1,tg,200.0,206.661865234375,182.51770775002188,195.12841361300343
*C(=C(*)c1cccc([Si](C)(C)C)c1)c1ccccc1,tg,200.0,194.8914031982422,202.17610618193575,198.37124172617342
*C(=C(C#N)c1ccc(C(=O)OC2CCN(*)CC2)cc1)c1ccc(OC)cc1,tg,183.0,169.01519775390625,162.92344707482553,166.1052220468572
*C(=C([2H])C([2H])([2H])C(*)([2H])[2H])C([2H])([2H])[2H],tg,-58.0,20.095415115356445,19.028533783821636,19.58577528920076
*C(=Cc1cc(OC)c(C=C(c2ccc(*)cc2)c2ccc(F)cc2)cc1OC)c1ccc(F)cc1,tg,193.0,194.7730255126953,183.10454925258193,189.19909705698694
*C(=Cc1cc(OC)c(C=C(c2ccc(*)cc2)c2ccc(OC)cc2)cc1OC)c1ccc(OC)cc1,tg,170.0,175.8757781982422,180.4476736381984,178.0597324285307
*C(=Cc1cc(OC)c(C=C(c2ccc(F)cc2)c2ccc(-c3ccc(*)cc3)cc2)cc1OC)c1ccc(F)cc1,tg,201.0,199.6184234619141,209.59101671702604,204.38224352571171
*C(=Cc1cc(OC)c(C=C(c2ccc(F)cc2)c2ccc3cc(*)ccc3c2)cc1OC)c1ccc(F)cc1,tg,208.0,199.97056579589844,212.3667326536099,205.89210564820098
*C(=Cc1cc(OC)c(C=C(c2ccccc2)c2ccc3cc(*)ccc3c2)cc1OC)c1ccccc1,tg,198.0,197.8033905029297,202.80246657641655,200.19140516372215
