canon,target_type,y_true,y_pred_chemprop,y_pred_lgb_mono,y_pred_lgb_ext,y_pred_blend
*/C=C\C(C#N)C*,egc,5.3057,5.528832912445068,4.7006921477083825,5.127174259025916,5.3075117501320195
*=CC1OC(C=*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,egc,5.0857,4.890029430389404,4.957530588946123,4.985146046624854,4.932141679566482
*=CC1OC(C=*)C2C(=O)N(c3cccc(C(F)(F)F)c3)C(=O)C12,egc,5.0879,4.899231910705566,4.851758255700358,4.613779854514598,4.785270016585295
*C#CC#CCCCCCCCC*,egc,5.4216,4.14666223526001,6.092274662062896,5.976764395120498,5.008725383948343
*C#CC#Cc1cc(C(C)(C)C)cc2c3cc(C(C)(C)C)cc(*)c3n(CCCCCCCCCCCCCCCC)c12,tg,67.0,87.08261108398438,82.4000856072912,65.1494624457764,80.18724813161367
*C#CC(=C(*)c1cnc2ccccc2c1)c1cnc2ccccc2c1,egb,0.5725,2.1751818656921387,2.213098274339082,2.443947267150484,2.215108935478843
*C#CC(COS(=O)(=O)c1ccc(C)cc1)=C(*)COS(=O)(=O)c1ccc(C)cc1,tg,-73.0,79.50177764892578,88.32077569591176,89.9779454101698,84.3609317331074
*C#CC=C*,egc,1.1342,1.7618910074234009,4.0611673880155745,4.24981922964795,2.906139675570432
*C#Cc1c(F)c(F)c(C#Cc2cc(CCCCCC)c(*)s2)c(F)c1F,egc,2.8156,2.095245361328125,2.1193183833788143,2.67279479369707,2.320058292689249
*C#Cc1cc(C(C)(C)C)cc2c3cc(C(C)(C)C)cc(*)c3n(CCCCCCCCCCCCCCCC)c12,tg,80.0,67.82530975341797,70.92868346745036,80.4623304950854,71.89459348026506
*C#Cc1cc(CCCCCC)c(*)s1,egc,1.5751,2.6574902534484863,2.4989628414644627,3.2393482261456485,2.8693438527983397
*C#Cc1cc(OCC(CC)CCCC)c(C#Cc2cc(OCCNCCCC)c(*)cc2OCCNCCCC)cc1OCC(CC)CCCC,egc,2.9566,2.9473822116851807,3.64177423757577,3.457163940327977,3.1997195622819707
*C#Cc1cc(OCCCCCC)c(C#Cc2ccc3c(-c4c(O)ccc5cc(*)ccc45)c(O)ccc3c2)cc1OCCCCCC,egc,3.0868,2.8268308639526367,2.698337915420166,2.60547870613195,2.7311183416192577
*C#Cc1cccc(C#C[SiH](*)C)c1,tg,72.0,46.50532913208008,79.295934319147,71.061478196262,60.777692028085944
*C#Cc1cccc(C#C[Si](*)(C)C)c1,tg,50.0,101.42462921142578,94.67509054432296,75.32232187344478,92.93862537430843
*C#Cc1ccccc1C#C[SiH](*)c1ccccc1,tg,71.0,92.100830078125,115.96124641534904,127.59584072624496,107.13262808109238
*C#Cc1sc(-c2sc(*)c3c2OCCO3)c2c1OCCO2,egc,1.7209,1.4141381978988647,2.439114838650453,2.3176144014073388,1.84488049131195
*C(*)(F)Cl,egc,3.6564,6.579475402832031,6.689244494099055,6.2468641952431465,6.459905565246697
*C(*)(F)Cl,tg,77.0,-15.756790161132812,12.986557190307622,-3.0335869643161137,-5.566260618030972
*C(*)(F)F,egc,7.2027,4.206876277923584,6.217802980373065,6.396093479942054,5.212757624330348
*C(*)C,egb,7.4047,6.768763065338135,7.776989804616555,7.628376629923047,7.0814282263654835
*C(*)C(=O)OC,tg,80.25,93.27474212646484,33.663092085353426,67.57054689961767,72.32030386838403
*C(*)C(=O)OC(C)C,tg,70.0,48.69328308105469,56.9238469602325,62.744964127231874,54.3549877693238
*C(*)C(=O)OC1CCCCC1,tg,140.0,91.41434478759766,79.01737437995838,97.97843157298708,90.19600007983334
*C(*)C(=O)OCC,tg,12.35,59.336395263671875,25.344491051434083,25.44921740174746,42.31862636999074
*C(*)F,egc,6.7608,5.936694622039795,6.326928355672566,6.399808356290988,6.146666040935595
*C(*)O,egc,6.4482,6.862986087799072,6.064699698523319,6.017905190873097,6.472932081601089
*C(=C(*)c1ccc(C(C)(C)C)cc1)c1ccccc1,tg,200.0,231.1681365966797,233.1594908698997,217.6737630830341,228.08464632409883
*C(=C(*)c1ccc(CCCC)cc1)c1ccccc1,tg,200.0,153.38636779785156,119.8351814896179,167.41624211220466,149.10443672922793
*C(=C(*)c1ccc(Oc2ccccc2)cc1)c1ccccc1,tg,200.0,171.6760711669922,165.72379009532793,184.08771312068444,173.53203591161287
*C(=C(*)c1ccc([Si](C(C)C)(C(C)C)C(C)C)cc1)c1ccccc1,tg,250.0,165.7102508544922,179.37272012176894,193.26659078036252,176.22379680914807
*C(=C(*)c1ccc([Si](C)(C)C)cc1)c1ccccc1,tg,200.0,216.9943084716797,208.4953752239732,208.7832727589431,212.80837500395893
*C(=C(*)c1ccc[c]([Ge]([CH3])([CH3])[CH3])c1)c1ccccc1,tg,200.0,206.661865234375,167.46921937661034,182.51770775002188,190.9753635635342
*C(=C(*)c1cccc([Si](C)(C)C)c1)c1ccccc1,tg,200.0,194.8914031982422,187.1898245399977,202.17610618193575,194.97982404112986
