canon,target_type,y_true,y_pred
*C(=O)C(F)(F)CC(*)(F)F,eea,3.352,1.7582863536859374
*C(=O)Oc1ccc(C(*)=S)cc1,eea,3.6938,3.4743108411289545
*C(=O)Oc1ccc(C(*)=S)s1,eea,3.8482,3.7116315769440025
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,eea,3.0595,2.6802259260167527
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,eea,2.775,2.7823825514497207
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)s1,eea,4.1032,3.813969073095405
*C(=O)c1ccc(C(=O)C(*)=S)cc1,eea,3.783,4.149049679952826
*C(=O)c1ccc(C(=O)C(*)=S)s1,eea,4.6396,3.927606404424879
*C(=O)c1ccc(C(=O)c2ccc(*)cc2)cc1,eea,2.1866,2.5470823678569228
*C(=O)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9183,3.207894560857889
*C(=O)c1ccc(C(=S)c2ccc(*)s2)cc1,eea,3.9759,3.498629896612384
*C(=O)c1ccc(C(=S)c2ccc(*)s2)s1,eea,4.1286,3.8572369460183302
*C(=O)c1ccc(NC(=S)Oc2ccc(Nc3ccc(*)s3)s2)s1,eea,2.7059,2.6688176155831034
*C(=O)c1ccc(OC(*)=S)cc1,eea,3.2631,3.3615308502853143
*C(=O)c1ccc(Oc2ccc(*)s2)s1,eea,2.882,2.8737048284943465
*C(=S)C(=O)C(F)(F)C(*)(F)F,eea,5.1438,3.8924973847619873
*C(=S)C(F)(F)c1ccc(C(*)(F)F)cc1,eea,4.0037,3.4837180949644475
*C(=S)C(F)(F)c1ccc(C(*)(F)F)s1,eea,4.1531,3.495134022006797
*C(=S)CC(F)(F)C(*)(F)F,eea,3.5657,3.16740832463655
*C(=S)OC(=S)c1ccc(*)cc1,eea,3.7508,3.087641553983807
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,eea,3.0264,2.95012055383082
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,eea,3.3503,3.0095241392162024
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9311,3.130487225164268
*C(=S)c1ccc(C(F)(F)C(*)(F)F)s1,eea,4.1828,3.6260613454240893
*C(F)C(*)(F)F,eea,1.524,1.8153220130869965
*CC(*)(F)F,eea,1.1415,1.1197564269126334
*CC(*)C,eea,0.4343,0.8854215966763115
*CC(=O)C(=S)C(*)=O,eea,4.8698,3.5672111935144626
*CC(=O)C(=S)O*,eea,2.8847,3.9857619659400627
*CC(=O)CC(*)=O,eea,1.5258,1.890643638780265
*CC(=O)CC(*)=S,eea,3.0632,3.116729191530031
*CC(=O)Cc1ccc(*)cc1,eea,1.8209,1.6420861058158085
*CC(=O)Cc1ccc(*)s1,eea,1.6069,1.8698224648271766
*CC(=O)NC(*)=S,eea,2.9562,3.012242124824011
*CC(=O)Nc1ccc(*)cc1,eea,1.369,1.3594380576766092
*CC(=O)Nc1ccc(*)s1,eea,1.3272,1.5878910883550925
*CC(=O)O*,eea,1.2063,1.2546440301628325
*CC(=O)Oc1ccc(*)s1,eea,1.4534,1.6049889934707808
*CC(=O)c1ccc(-c2ccc(*)s2)cc1,eea,2.4129,2.2998238343272184
*CC(=O)c1ccc(C(*)=O)s1,eea,3.1941,2.829447688668875
*CC(=O)c1ccc(C(*)=S)cc1,eea,3.7473,3.5489339820883004
*CC(=O)c1ccc(O*)cc1,eea,2.3793,1.9485778515018133
*CC(=O)c1ccc(O*)s1,eea,2.4711,2.359957169504013
*CC(=S)C(=O)O*,eea,3.8755,3.5441997981692923
*CC(=S)NO*,eea,2.2076,2.5936917297870425
*CC(=S)c1ccc(C(*)=S)cc1,eea,2.9742,3.2981168188576087
