canon,target_type,y_true,y_pred
*C(=O)C(F)(F)CC(*)(F)F,eea,3.352,1.6429089396940806
*C(=O)Oc1ccc(C(*)=S)cc1,eea,3.6938,3.445863183120776
*C(=O)Oc1ccc(C(*)=S)s1,eea,3.8482,3.956029206797347
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,eea,3.0595,2.7495342964267455
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,eea,2.775,2.7873444218103547
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)s1,eea,4.1032,3.8138540938800825
*C(=O)c1ccc(C(=O)C(*)=S)cc1,eea,3.783,4.306375619594772
*C(=O)c1ccc(C(=O)C(*)=S)s1,eea,4.6396,4.202643367251796
*C(=O)c1ccc(C(=O)c2ccc(*)cc2)cc1,eea,2.1866,2.6899367635605906
*C(=O)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9183,3.08795475416713
*C(=O)c1ccc(C(=S)c2ccc(*)s2)cc1,eea,3.9759,3.3374696956265817
*C(=O)c1ccc(C(=S)c2ccc(*)s2)s1,eea,4.1286,4.197158957218512
*C(=O)c1ccc(NC(=S)Oc2ccc(Nc3ccc(*)s3)s2)s1,eea,2.7059,3.0763439483370476
*C(=O)c1ccc(OC(*)=S)cc1,eea,3.2631,3.223983561434703
*C(=O)c1ccc(Oc2ccc(*)s2)s1,eea,2.882,2.927577361851875
*C(=S)C(=O)C(F)(F)C(*)(F)F,eea,5.1438,4.5610577512551345
*C(=S)C(F)(F)c1ccc(C(*)(F)F)cc1,eea,4.0037,3.8709751139433592
*C(=S)C(F)(F)c1ccc(C(*)(F)F)s1,eea,4.1531,3.8278095220119477
*C(=S)CC(F)(F)C(*)(F)F,eea,3.5657,3.849623776428973
*C(=S)OC(=S)c1ccc(*)cc1,eea,3.7508,3.1430473761796196
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,eea,3.0264,2.9872363738038543
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,eea,3.3503,2.958750364238435
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9311,3.1480043318979427
*C(=S)c1ccc(C(F)(F)C(*)(F)F)s1,eea,4.1828,4.073237336047277
*C(F)C(*)(F)F,eea,1.524,1.868761839557017
*CC(*)(F)F,eea,1.1415,0.8522159432812995
*CC(*)C,eea,0.4343,0.9286059174757366
*CC(=O)C(=S)C(*)=O,eea,4.8698,3.814863263646922
*CC(=O)C(=S)O*,eea,2.8847,3.974300387382874
*CC(=O)CC(*)=O,eea,1.5258,2.171152021797149
*CC(=O)CC(*)=S,eea,3.0632,3.2553163865337207
*CC(=O)Cc1ccc(*)cc1,eea,1.8209,1.5690617284773436
*CC(=O)Cc1ccc(*)s1,eea,1.6069,1.6442102931921048
*CC(=O)NC(*)=S,eea,2.9562,3.0747679408248665
*CC(=O)Nc1ccc(*)cc1,eea,1.369,1.1784046012216576
*CC(=O)Nc1ccc(*)s1,eea,1.3272,1.4289047200566005
*CC(=O)O*,eea,1.2063,1.086013749187439
*CC(=O)Oc1ccc(*)s1,eea,1.4534,1.600783465532701
*CC(=O)c1ccc(-c2ccc(*)s2)cc1,eea,2.4129,2.3751219046782484
*CC(=O)c1ccc(C(*)=O)s1,eea,3.1941,2.7058057936160336
*CC(=O)c1ccc(C(*)=S)cc1,eea,3.7473,3.295547955728007
*CC(=O)c1ccc(O*)cc1,eea,2.3793,1.7897553023277948
*CC(=O)c1ccc(O*)s1,eea,2.4711,2.425715600933402
*CC(=S)C(=O)O*,eea,3.8755,3.805378675326363
*CC(=S)NO*,eea,2.2076,2.495278588011423
*CC(=S)c1ccc(C(*)=S)cc1,eea,2.9742,3.4008807329788073
*CC(=S)c1ccc(N*)cc1,eea,3.0309,2.8823451315757525
*CC(=S)c1ccc(O*)cc1,eea,3.1915,2.9940873246196915
*CC(O*)C(F)(F)F,eea,0.7546,1.41792838830879
*CCC(=O)C(*)=S,eea,3.1911,3.8209075872093186
*CCC(=O)N*,eea,1.1904,1.0619728211572883
*CCC(=O)OC(=O)Cc1ccc(-c2ccc(*)cc2)cc1,eea,1.5387,2.1259378497610646
*CCC(=O)c1ccc(*)s1,eea,2.6933,2.483645027613181
*CCC(O*)(C(F)(F)F)C(F)(F)F,eea,0.4911,1.6304581649929837
*CCCC(*)=O,eea,1.2346,1.506568932298651
*CCCC(*)=S,eea,2.3997,2.53253457553658
*CCCCCCC(=O)N*,eea,0.6934,0.823711566688919
*CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,eea,0.9199,0.7887791187746352
*CCCCCOCO*,eea,0.5413,0.6344022672653497
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,eea,2.4936,1.9715175455554474
*CCCc1ccc(*)cc1,eea,0.9937,1.1940909931527004
*CCNC(*)=S,eea,1.6837,2.229642672785326
*CCNc1ccc(*)cc1,eea,0.6326,0.7701784954255997
*CCO*,eea,0.3936,0.8811494438794751
*CCOC(=O)CCCCC(=O)O*,eea,1.0754,0.9862073347876045
*CCOC(=O)CCCCCCC(=O)O*,eea,0.8924,1.050099958952286
*CCOC(=O)NCCOCCOCCNC(=O)O*,eea,0.573,0.8265513780688403
*CCOC(=O)c1ccc(C(=O)O*)cc1,eea,2.2723,2.060984235437393
*CCOC(=S)NC(=S)c1ccc(N*)cc1,eea,2.6209,3.426418597453464
*CCOCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,eea,0.755,1.26144929164648
*CCOCCOC(=O)O*,eea,0.4954,0.745792362015714
*CCc1ccc(-c2ccc(*)s2)cc1,eea,1.6982,1.8020033893376433
*CCc1ccc(-c2ccc(*)s2)s1,eea,1.9411,1.5521660743160621
*CCc1ccc(C(*)=S)s1,eea,3.3272,2.890363195173718
*CCc1ccc(O*)cc1,eea,0.7536,0.8842747241609843
*CCc1ccc(O*)s1,eea,0.6627,0.9803857293932396
*CNC(=O)C(*)=S,eea,4.0732,3.4260017575699346
*CNC(=O)NCOCO*,eea,0.7808,0.8223373737166091
*CNC(=O)c1ccc(*)s1,eea,1.968,2.406632116216824
*CNC(=S)c1ccc(*)s1,eea,2.3974,2.9557033749608514
*CNCC(*)=O,eea,1.6269,1.7805009867709534
*CNCC(*)=S,eea,2.6857,2.544037671368266
*CNCCCOCO*,eea,0.6155,0.6145732286552145
*CNCCNC(=O)OC*,eea,0.5903,0.6585807352190035
*CNCN*,eea,0.8689,0.6627770197393829
*CNCO*,eea,0.7624,0.8247972463787315
*CNCc1ccc(*)s1,eea,1.1612,1.1688344326489728
*CNOC(*)=S,eea,2.5,2.363396301204034
*CNON*,eea,0.9652,0.7829758751585189
*CNc1ccc(N*)cc1,eea,0.54,0.7301630742146707
*CNc1ccc(N*)s1,eea,0.5629,1.13296234860096
*CNc1ccc(O*)cc1,eea,0.7695,0.8156742823414785
*CNc1ccc(O*)s1,eea,0.8203,1.1960102384272215
*CO*,eea,0.9897,0.7143531132514462
*COC(=O)O*,eea,0.7529,1.078772716778943
*COC(=S)O*,eea,2.0771,2.1820376831175046
*COCOCCCO*,eea,0.6927,0.6146316822298477
*CONC(*)=O,eea,1.2523,1.424328116133438
*COc1ccc(-c2ccc(*)cc2)s1,eea,1.6377,1.5287616639357073
*COc1ccc(O*)cc1,eea,0.9466,0.7982033793766685
*COc1ccc(O*)s1,eea,0.8857,1.1527189172137013
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,eea,1.8331,2.056962401300855
*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,eea,1.9244,1.9218620506443158
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,eea,1.9547,2.0105776462713574
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,eea,2.0787,2.3855314729945594
*Cc1ccc(-c2ccc(C(*)=S)cc2)cc1,eea,2.7075,2.758715654047427
*Cc1ccc(-c2ccc(C(*)=S)cc2)s1,eea,2.9754,2.865626394769811
*Cc1ccc(-c2ccc(C(*)=S)s2)s1,eea,3.2587,3.4156363028929326
*Cc1ccc(-c2ccc(N*)cc2)cc1,eea,1.1363,1.1276859798141639
*Cc1ccc(-c2ccc(N*)s2)s1,eea,1.6017,1.741825474099442
*Cc1ccc(-c2ccc(O*)cc2)s1,eea,1.4385,1.6411073676209427
*Cc1ccc(C(=O)C(*)=S)cc1,eea,3.3639,3.565935590569052
*Cc1ccc(C(=O)O*)cc1,eea,2.2574,1.850671312288769
*Cc1ccc(C(=O)c2ccc(*)s2)s1,eea,2.8498,2.837895464171895
*Cc1ccc(C(=S)O*)cc1,eea,2.8319,2.7629525446854686
*Cc1ccc(C(=S)O*)s1,eea,2.9654,3.12416080172046
*Cc1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.874,2.9057147012170663
*Cc1ccc(C(=S)c2ccc(*)s2)cc1,eea,3.0211,3.2231043397058814
*Cc1ccc(CC(*)=S)cc1,eea,2.6743,2.401400934927784
*Cc1ccc(CO*)cc1,eea,1.6106,0.9548337419781877
*Cc1ccc(CO*)s1,eea,1.4146,1.2744323673650473
*Cc1ccc(Cc2ccc(*)cc2)cc1,eea,1.0649,1.2550342419827896
*Cc1ccc(Cc2ccc(*)s2)s1,eea,1.174,1.3531690811484225
*Cc1ccc(NC(*)=S)cc1,eea,2.0656,2.2286357438066204
*Cc1ccc(NC(*)=S)s1,eea,2.0497,2.2041951605815657
*Cc1ccc(NO*)cc1,eea,0.7333,1.2709624900164316
*Cc1ccc(NO*)s1,eea,1.3873,1.0112739162436744
*Cc1ccc(Nc2ccc(*)cc2)cc1,eea,0.9546,1.1081619342649378
*Cc1ccc(Nc2ccc(*)s2)cc1,eea,0.9705,1.149492536819461
*Cc1ccc(OC(*)=S)cc1,eea,2.2773,2.187906836542765
*Cc1ccc(Oc2ccc(*)s2)cc1,eea,1.0627,1.2194235483612543
*Cc1ccc(Oc2ccc(*)s2)s1,eea,1.2199,1.342865968081726
