canon,target_type,y_true,y_pred
*C(=O)C(F)(F)CC(*)(F)F,eea,3.352,1.6605187912113448
*C(=O)Oc1ccc(C(*)=S)cc1,eea,3.6938,3.6241515212266213
*C(=O)Oc1ccc(C(*)=S)s1,eea,3.8482,3.9930510127166627
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,eea,3.0595,2.729954238915827
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,eea,2.775,2.8542595233621726
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)s1,eea,4.1032,3.836219329135504
*C(=O)c1ccc(C(=O)C(*)=S)cc1,eea,3.783,4.340971001699356
*C(=O)c1ccc(C(=O)C(*)=S)s1,eea,4.6396,4.309621887322659
*C(=O)c1ccc(C(=O)c2ccc(*)cc2)cc1,eea,2.1866,2.575767310644794
*C(=O)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9183,3.131845908099789
*C(=O)c1ccc(C(=S)c2ccc(*)s2)cc1,eea,3.9759,3.2959237096239113
*C(=O)c1ccc(C(=S)c2ccc(*)s2)s1,eea,4.1286,4.084507320597658
*C(=O)c1ccc(NC(=S)Oc2ccc(Nc3ccc(*)s3)s2)s1,eea,2.7059,2.9234909170981003
*C(=O)c1ccc(OC(*)=S)cc1,eea,3.2631,3.2541128058509567
*C(=O)c1ccc(Oc2ccc(*)s2)s1,eea,2.882,2.9443062715107775
*C(=S)C(=O)C(F)(F)C(*)(F)F,eea,5.1438,4.5997270271355
*C(=S)C(F)(F)c1ccc(C(*)(F)F)cc1,eea,4.0037,3.7166088533712034
*C(=S)C(F)(F)c1ccc(C(*)(F)F)s1,eea,4.1531,3.9117798430857604
*C(=S)CC(F)(F)C(*)(F)F,eea,3.5657,3.965457196242285
*C(=S)OC(=S)c1ccc(*)cc1,eea,3.7508,3.2449059385721726
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,eea,3.0264,2.9700275589217933
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,eea,3.3503,3.0934417605192026
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9311,3.2677654931703213
*C(=S)c1ccc(C(F)(F)C(*)(F)F)s1,eea,4.1828,4.105041916999511
*C(F)C(*)(F)F,eea,1.524,1.8569245931999512
*CC(*)(F)F,eea,1.1415,0.967762821409376
*CC(*)C,eea,0.4343,1.0123447058013264
*CC(=O)C(=S)C(*)=O,eea,4.8698,3.8055703980589968
*CC(=O)C(=S)O*,eea,2.8847,3.994469407358591
*CC(=O)CC(*)=O,eea,1.5258,2.047046411942935
*CC(=O)CC(*)=S,eea,3.0632,3.2718266257558994
*CC(=O)Cc1ccc(*)cc1,eea,1.8209,1.695458957127948
*CC(=O)Cc1ccc(*)s1,eea,1.6069,1.5731708258131882
*CC(=O)NC(*)=S,eea,2.9562,3.2356206337423887
*CC(=O)Nc1ccc(*)cc1,eea,1.369,1.228569729672622
*CC(=O)Nc1ccc(*)s1,eea,1.3272,1.4520114264416992
