canon,target_type,y_true,y_pred
*C(=O)C(F)(F)CC(*)(F)F,eea,3.352,1.5926057880414342
*C(=O)Oc1ccc(C(*)=S)cc1,eea,3.6938,3.6834618293689996
*C(=O)Oc1ccc(C(*)=S)s1,eea,3.8482,3.988155032490263
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,eea,3.0595,2.7523970465676593
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,eea,2.775,2.7574113197623453
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)s1,eea,4.1032,3.709899491428342
*C(=O)c1ccc(C(=O)C(*)=S)cc1,eea,3.783,3.688160291170308
*C(=O)c1ccc(C(=O)C(*)=S)s1,eea,4.6396,4.092247078270715
*C(=O)c1ccc(C(=O)c2ccc(*)cc2)cc1,eea,2.1866,2.7219765127289115
*C(=O)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9183,2.982863274137874
*C(=O)c1ccc(C(=S)c2ccc(*)s2)cc1,eea,3.9759,3.3265670267138816
*C(=O)c1ccc(C(=S)c2ccc(*)s2)s1,eea,4.1286,4.052794011183203
*C(=O)c1ccc(NC(=S)Oc2ccc(Nc3ccc(*)s3)s2)s1,eea,2.7059,2.9779141139694403
*C(=O)c1ccc(OC(*)=S)cc1,eea,3.2631,3.1827796096208716
*C(=O)c1ccc(Oc2ccc(*)s2)s1,eea,2.882,2.936785514854948
*C(=S)C(=O)C(F)(F)C(*)(F)F,eea,5.1438,4.52238119125413
*C(=S)C(F)(F)c1ccc(C(*)(F)F)cc1,eea,4.0037,3.944546137109321
*C(=S)C(F)(F)c1ccc(C(*)(F)F)s1,eea,4.1531,4.1556910096079935
*C(=S)CC(F)(F)C(*)(F)F,eea,3.5657,3.890127344788565
*C(=S)OC(=S)c1ccc(*)cc1,eea,3.7508,3.264148607986562
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,eea,3.0264,2.9075508676577355
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,eea,3.3503,2.9541096310913724
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9311,3.0810392705044913
*C(=S)c1ccc(C(F)(F)C(*)(F)F)s1,eea,4.1828,4.1373216039825405
*C(F)C(*)(F)F,eea,1.524,1.7365253309089013
*CC(*)(F)F,eea,1.1415,0.9208633885589458
*CC(*)C,eea,0.4343,0.886626151765008
*CC(=O)C(=S)C(*)=O,eea,4.8698,3.5548481743661497
*CC(=O)C(=S)O*,eea,2.8847,3.5366358512426515
*CC(=O)CC(*)=O,eea,1.5258,2.3070693385854053
*CC(=O)CC(*)=S,eea,3.0632,3.221273884822127
*CC(=O)Cc1ccc(*)cc1,eea,1.8209,1.561938696762532
*CC(=O)Cc1ccc(*)s1,eea,1.6069,1.7124310841648724
*CC(=O)NC(*)=S,eea,2.9562,2.976194548357961
*CC(=O)Nc1ccc(*)cc1,eea,1.369,1.1741464913722441
*CC(=O)Nc1ccc(*)s1,eea,1.3272,1.4671173556196253
*CC(=O)O*,eea,1.2063,1.1101413608508088
*CC(=O)Oc1ccc(*)s1,eea,1.4534,1.6283907847043395
*CC(=O)c1ccc(-c2ccc(*)s2)cc1,eea,2.4129,2.3510001006004373
*CC(=O)c1ccc(C(*)=O)s1,eea,3.1941,2.663643002386042
*CC(=O)c1ccc(C(*)=S)cc1,eea,3.7473,3.192746388971262
*CC(=O)c1ccc(O*)cc1,eea,2.3793,1.8954230559192788
*CC(=O)c1ccc(O*)s1,eea,2.4711,2.382647063946679
*CC(=S)C(=O)O*,eea,3.8755,3.5292953811725125
*CC(=S)NO*,eea,2.2076,2.507345174183418
*CC(=S)c1ccc(C(*)=S)cc1,eea,2.9742,3.3881391876073748
*CC(=S)c1ccc(N*)cc1,eea,3.0309,2.909511153269888
*CC(=S)c1ccc(O*)cc1,eea,3.1915,3.1230630419615917
*CC(O*)C(F)(F)F,eea,0.7546,1.4046069051702517
*CCC(=O)C(*)=S,eea,3.1911,3.6212823790158977
*CCC(=O)N*,eea,1.1904,1.0001982607994462
*CCC(=O)OC(=O)Cc1ccc(-c2ccc(*)cc2)cc1,eea,1.5387,2.02559513264635
*CCC(=O)c1ccc(*)s1,eea,2.6933,2.458584050477175
*CCC(O*)(C(F)(F)F)C(F)(F)F,eea,0.4911,1.564122098212182
*CCCC(*)=O,eea,1.2346,1.564706907408317
*CCCC(*)=S,eea,2.3997,2.5239048041560177
*CCCCCCC(=O)N*,eea,0.6934,0.8081558130656148
*CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,eea,0.9199,0.825043877608137
*CCCCCOCO*,eea,0.5413,0.570417114993587
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,eea,2.4936,1.9465229913300288
*CCCc1ccc(*)cc1,eea,0.9937,1.1986043373467943
*CCNC(*)=S,eea,1.6837,2.1319984546429445
*CCNc1ccc(*)cc1,eea,0.6326,0.8024633788610979
*CCO*,eea,0.3936,0.7967742007753755
*CCOC(=O)CCCCC(=O)O*,eea,1.0754,0.865273256106745
*CCOC(=O)CCCCCCC(=O)O*,eea,0.8924,1.0453810219259994
*CCOC(=O)NCCOCCOCCNC(=O)O*,eea,0.573,0.8587893073199256
*CCOC(=O)c1ccc(C(=O)O*)cc1,eea,2.2723,2.0556890953908273
*CCOC(=S)NC(=S)c1ccc(N*)cc1,eea,2.6209,3.247720820029349
*CCOCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,eea,0.755,1.1743193068469868
*CCOCCOC(=O)O*,eea,0.4954,0.7732986177736069
*CCc1ccc(-c2ccc(*)s2)cc1,eea,1.6982,1.6615043987581368
*CCc1ccc(-c2ccc(*)s2)s1,eea,1.9411,1.6832125410056002
*CCc1ccc(C(*)=S)s1,eea,3.3272,2.8721519075550277
*CCc1ccc(O*)cc1,eea,0.7536,0.8307798269590068
*CCc1ccc(O*)s1,eea,0.6627,0.957676101577706
*CNC(=O)C(*)=S,eea,4.0732,3.3499855285539173
*CNC(=O)NCOCO*,eea,0.7808,0.7384850768180781
*CNC(=O)c1ccc(*)s1,eea,1.968,2.37310324510088
*CNC(=S)c1ccc(*)s1,eea,2.3974,2.8837197809983226
*CNCC(*)=O,eea,1.6269,1.7809165171320571
*CNCC(*)=S,eea,2.6857,2.4948341669617733
*CNCCCOCO*,eea,0.6155,0.6198813594377073
*CNCCNC(=O)OC*,eea,0.5903,0.6614245478425329
*CNCN*,eea,0.8689,0.693736293689083
*CNCO*,eea,0.7624,0.9022618226479119
*CNCc1ccc(*)s1,eea,1.1612,1.0510758510817506
*CNOC(*)=S,eea,2.5,2.5144957983898535
*CNON*,eea,0.9652,0.8384419881862457
*CNc1ccc(N*)cc1,eea,0.54,0.6772314534430128
*CNc1ccc(N*)s1,eea,0.5629,1.1025603572033678
*CNc1ccc(O*)cc1,eea,0.7695,0.7542893341899289
*CNc1ccc(O*)s1,eea,0.8203,1.1392276021020682
*CO*,eea,0.9897,0.848118864934987
