canon,target_type,y_true,y_pred
*C(=O)C(F)(F)CC(*)(F)F,eea,3.352,1.6357650728907178
*C(=O)Oc1ccc(C(*)=S)cc1,eea,3.6938,3.558429891092096
*C(=O)Oc1ccc(C(*)=S)s1,eea,3.8482,3.9324404915360374
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,eea,3.0595,2.765265605610827
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,eea,2.775,2.8010885805815002
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)s1,eea,4.1032,3.722230055863038
*C(=O)c1ccc(C(=O)C(*)=S)cc1,eea,3.783,4.2220619508012485
*C(=O)c1ccc(C(=O)C(*)=S)s1,eea,4.6396,4.152212209358333
*C(=O)c1ccc(C(=O)c2ccc(*)cc2)cc1,eea,2.1866,2.6970642832707066
*C(=O)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9183,3.018501475820754
*C(=O)c1ccc(C(=S)c2ccc(*)s2)cc1,eea,3.9759,3.323133461711509
*C(=O)c1ccc(C(=S)c2ccc(*)s2)s1,eea,4.1286,4.048800605841388
*C(=O)c1ccc(NC(=S)Oc2ccc(Nc3ccc(*)s3)s2)s1,eea,2.7059,3.103283474916565
*C(=O)c1ccc(OC(*)=S)cc1,eea,3.2631,3.2399013154893237
*C(=O)c1ccc(Oc2ccc(*)s2)s1,eea,2.882,2.8928116468569516
*C(=S)C(=O)C(F)(F)C(*)(F)F,eea,5.1438,4.603738886382533
*C(=S)C(F)(F)c1ccc(C(*)(F)F)cc1,eea,4.0037,3.8253157304840006
*C(=S)C(F)(F)c1ccc(C(*)(F)F)s1,eea,4.1531,3.8294840855414916
*C(=S)CC(F)(F)C(*)(F)F,eea,3.5657,3.859193982966581
*C(=S)OC(=S)c1ccc(*)cc1,eea,3.7508,3.3139303731664587
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,eea,3.0264,3.000343076902183
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,eea,3.3503,2.984570876884348
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9311,3.130798730422061
*C(=S)c1ccc(C(F)(F)C(*)(F)F)s1,eea,4.1828,3.9865517546653773
*C(F)C(*)(F)F,eea,1.524,1.7870091978227076
*CC(*)(F)F,eea,1.1415,0.9093252939869295
*CC(*)C,eea,0.4343,0.8776141007297001
*CC(=O)C(=S)C(*)=O,eea,4.8698,3.7917479627786457
*CC(=O)C(=S)O*,eea,2.8847,3.908394576727081
*CC(=O)CC(*)=O,eea,1.5258,2.25437287870359
*CC(=O)CC(*)=S,eea,3.0632,3.194323223253523
*CC(=O)Cc1ccc(*)cc1,eea,1.8209,1.4892749433561139
*CC(=O)Cc1ccc(*)s1,eea,1.6069,1.7155184943830422
*CC(=O)NC(*)=S,eea,2.9562,3.036000255436207
*CC(=O)Nc1ccc(*)cc1,eea,1.369,1.240713575989942
*CC(=O)Nc1ccc(*)s1,eea,1.3272,1.4287047463439477
*CC(=O)O*,eea,1.2063,1.0700504571019385
*CC(=O)Oc1ccc(*)s1,eea,1.4534,1.527884922788168
*CC(=O)c1ccc(-c2ccc(*)s2)cc1,eea,2.4129,2.3426927092953695
*CC(=O)c1ccc(C(*)=O)s1,eea,3.1941,2.5945419012644515
*CC(=O)c1ccc(C(*)=S)cc1,eea,3.7473,3.2356945585450414
*CC(=O)c1ccc(O*)cc1,eea,2.3793,1.9962820667601344
*CC(=O)c1ccc(O*)s1,eea,2.4711,2.2616428538082514
*CC(=S)C(=O)O*,eea,3.8755,3.708302987742706
*CC(=S)NO*,eea,2.2076,2.5720210717749583
*CC(=S)c1ccc(C(*)=S)cc1,eea,2.9742,3.4856420334394254
*CC(=S)c1ccc(N*)cc1,eea,3.0309,2.846834211097964
*CC(=S)c1ccc(O*)cc1,eea,3.1915,3.033642102302857
*CC(O*)C(F)(F)F,eea,0.7546,1.4617868343278964
*CCC(=O)C(*)=S,eea,3.1911,3.8133965878004323
*CCC(=O)N*,eea,1.1904,1.1071519937817038
*CCC(=O)OC(=O)Cc1ccc(-c2ccc(*)cc2)cc1,eea,1.5387,2.101530429818434
*CCC(=O)c1ccc(*)s1,eea,2.6933,2.414053495896049
*CCC(O*)(C(F)(F)F)C(F)(F)F,eea,0.4911,1.5898681819581642
*CCCC(*)=O,eea,1.2346,1.6077347524303347
*CCCC(*)=S,eea,2.3997,2.653522527278311
*CCCCCCC(=O)N*,eea,0.6934,0.8803524277156765
*CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,eea,0.9199,0.8316942222242639
*CCCCCOCO*,eea,0.5413,0.6801932809394268
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,eea,2.4936,2.166439132437694
*CCCc1ccc(*)cc1,eea,0.9937,1.2893549681371648
*CCNC(*)=S,eea,1.6837,2.224838698128083
*CCNc1ccc(*)cc1,eea,0.6326,0.7779889141483164
*CCO*,eea,0.3936,0.9000466672400851
*CCOC(=O)CCCCC(=O)O*,eea,1.0754,0.9827847874322084
*CCOC(=O)CCCCCCC(=O)O*,eea,0.8924,1.0224074151292208
*CCOC(=O)NCCOCCOCCNC(=O)O*,eea,0.573,0.8211200883066471
*CCOC(=O)c1ccc(C(=O)O*)cc1,eea,2.2723,2.2552757755128368
*CCOC(=S)NC(=S)c1ccc(N*)cc1,eea,2.6209,3.3785064072761872
*CCOCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,eea,0.755,1.200760785882835
*CCOCCOC(=O)O*,eea,0.4954,0.7160873089504379
*CCc1ccc(-c2ccc(*)s2)cc1,eea,1.6982,1.7022603152661189
*CCc1ccc(-c2ccc(*)s2)s1,eea,1.9411,1.6164659720302128
*CCc1ccc(C(*)=S)s1,eea,3.3272,2.9359486209534724
*CCc1ccc(O*)cc1,eea,0.7536,0.8030376306959667
*CCc1ccc(O*)s1,eea,0.6627,1.0193597258465046
*CNC(=O)C(*)=S,eea,4.0732,3.3753942613483274
*CNC(=O)NCOCO*,eea,0.7808,0.7647387763708869
*CNC(=O)c1ccc(*)s1,eea,1.968,2.3932550840826003
*CNC(=S)c1ccc(*)s1,eea,2.3974,3.0037070393820033
*CNCC(*)=O,eea,1.6269,1.8572191443845996
*CNCC(*)=S,eea,2.6857,2.5707237319350744
*CNCCCOCO*,eea,0.6155,0.6139546965356323
*CNCCNC(=O)OC*,eea,0.5903,0.6248519077233008
*CNCN*,eea,0.8689,0.6710189379552152
*CNCO*,eea,0.7624,0.8332304428435513
*CNCc1ccc(*)s1,eea,1.1612,1.0401197782601033
*CNOC(*)=S,eea,2.5,2.269857910901852
*CNON*,eea,0.9652,0.7790853156114216
*CNc1ccc(N*)cc1,eea,0.54,0.7516449039499022
*CNc1ccc(N*)s1,eea,0.5629,1.0267280041463456
*CNc1ccc(O*)cc1,eea,0.7695,0.8090844986558358
*CNc1ccc(O*)s1,eea,0.8203,1.1551829352234768
*CO*,eea,0.9897,0.7649119813401167
*COC(=O)O*,eea,0.7529,1.0503561178530636
*COC(=S)O*,eea,2.0771,2.1686737163938288
*COCOCCCO*,eea,0.6927,0.5979860805706214
*CONC(*)=O,eea,1.2523,1.221851830417325
*COc1ccc(-c2ccc(*)cc2)s1,eea,1.6377,1.4643293328624576
*COc1ccc(O*)cc1,eea,0.9466,0.778849985750253
*COc1ccc(O*)s1,eea,0.8857,1.0927224656361925
*Cc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,eea,1.8331,2.1204613059161983
*Cc1ccc(-c2ccc(-c3ccc(*)s3)cc2)s1,eea,1.9244,1.9418894319935518
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,eea,1.9547,2.094159827092658
*Cc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,eea,2.0787,2.385572807786141
