canon,target_type,y_true,y_pred
*C(=O)C(F)(F)CC(*)(F)F,eea,3.352,2.687741279602051
*C(=O)Oc1ccc(C(*)=S)cc1,eea,3.6938,3.3761425018310547
*C(=O)Oc1ccc(C(*)=S)s1,eea,3.8482,3.231886386871338
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,eea,3.0595,2.7533979415893555
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,eea,2.775,3.1305534839630127
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)s1,eea,4.1032,4.133285999298096
*C(=O)c1ccc(C(=O)C(*)=S)cc1,eea,3.783,3.970482349395752
*C(=O)c1ccc(C(=O)C(*)=S)s1,eea,4.6396,3.931915283203125
*C(=O)c1ccc(C(=O)c2ccc(*)cc2)cc1,eea,2.1866,3.0915956497192383
*C(=O)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9183,3.186328887939453
*C(=O)c1ccc(C(=S)c2ccc(*)s2)cc1,eea,3.9759,3.8248915672302246
*C(=O)c1ccc(C(=S)c2ccc(*)s2)s1,eea,4.1286,4.011655807495117
*C(=O)c1ccc(NC(=S)Oc2ccc(Nc3ccc(*)s3)s2)s1,eea,2.7059,2.9163153171539307
*C(=O)c1ccc(OC(*)=S)cc1,eea,3.2631,3.3078527450561523
*C(=O)c1ccc(Oc2ccc(*)s2)s1,eea,2.882,3.1054768562316895
*C(=S)C(=O)C(F)(F)C(*)(F)F,eea,5.1438,3.962127208709717
*C(=S)C(F)(F)c1ccc(C(*)(F)F)cc1,eea,4.0037,3.9533281326293945
*C(=S)C(F)(F)c1ccc(C(*)(F)F)s1,eea,4.1531,3.5253214836120605
*C(=S)CC(F)(F)C(*)(F)F,eea,3.5657,3.664144515991211
*C(=S)OC(=S)c1ccc(*)cc1,eea,3.7508,3.703122138977051
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,eea,3.0264,3.064246654510498
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,eea,3.3503,2.979292631149292
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9311,3.2773075103759766
*C(=S)c1ccc(C(F)(F)C(*)(F)F)s1,eea,4.1828,3.7234349250793457
*C(F)C(*)(F)F,eea,1.524,0.9941273927688599
*CC(*)(F)F,eea,1.1415,1.246519923210144
*CC(*)C,eea,0.4343,0.8662146329879761
*CC(=O)C(=S)C(*)=O,eea,4.8698,3.8716719150543213
*CC(=O)C(=S)O*,eea,2.8847,3.797382354736328
*CC(=O)CC(*)=O,eea,1.5258,1.4845106601715088
*CC(=O)CC(*)=S,eea,3.0632,3.297567844390869
*CC(=O)Cc1ccc(*)cc1,eea,1.8209,1.7665910720825195
*CC(=O)Cc1ccc(*)s1,eea,1.6069,1.8545408248901367
*CC(=O)NC(*)=S,eea,2.9562,3.3240041732788086
*CC(=O)Nc1ccc(*)cc1,eea,1.369,1.6684119701385498
*CC(=O)Nc1ccc(*)s1,eea,1.3272,1.5007493495941162
*CC(=O)O*,eea,1.2063,1.0583882331848145
*CC(=O)Oc1ccc(*)s1,eea,1.4534,1.92921781539917
*CC(=O)c1ccc(-c2ccc(*)s2)cc1,eea,2.4129,2.3559603691101074
*CC(=O)c1ccc(C(*)=O)s1,eea,3.1941,3.185326337814331
