canon,target_type,y_true,y_pred
*/C=C\C(C#N)C*,egc,5.3057,5.247262477874756
*=CC1OC(C=*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,egc,5.0857,4.730720043182373
*=CC1OC(C=*)C2C(=O)N(c3cccc(C(F)(F)F)c3)C(=O)C12,egc,5.0879,4.781975269317627
*C#CC#CCCCCCCCC*,egc,5.4216,4.075769424438477
*C#CC#Cc1cc(C(C)(C)C)cc2c3cc(C(C)(C)C)cc(*)c3n(CCCCCCCCCCCCCCCC)c12,tg,67.0,95.3792953491211
*C#CC(=C(*)c1cnc2ccccc2c1)c1cnc2ccccc2c1,egb,0.5725,2.4178903102874756
*C#CC(COS(=O)(=O)c1ccc(C)cc1)=C(*)COS(=O)(=O)c1ccc(C)cc1,tg,-73.0,61.99224853515625
*C#CC=C*,egc,1.1342,2.6425392627716064
*C#Cc1c(F)c(F)c(C#Cc2cc(CCCCCC)c(*)s2)c(F)c1F,egc,2.8156,1.9693049192428589
*C#Cc1cc(C(C)(C)C)cc2c3cc(C(C)(C)C)cc(*)c3n(CCCCCCCCCCCCCCCC)c12,tg,80.0,77.17913055419922
*C#Cc1cc(CCCCCC)c(*)s1,egc,1.5751,2.8848564624786377
*C#Cc1cc(OCC(CC)CCCC)c(C#Cc2cc(OCCNCCCC)c(*)cc2OCCNCCCC)cc1OCC(CC)CCCC,egc,2.9566,2.6700165271759033
*C#Cc1cc(OCCCCCC)c(C#Cc2ccc3c(-c4c(O)ccc5cc(*)ccc45)c(O)ccc3c2)cc1OCCCCCC,egc,3.0868,2.6193456649780273
*C#Cc1cccc(C#C[SiH](*)C)c1,tg,72.0,62.11882019042969
*C#Cc1cccc(C#C[Si](*)(C)C)c1,tg,50.0,103.7750244140625
*C#Cc1ccccc1C#C[SiH](*)c1ccccc1,tg,71.0,77.97103881835938
*C#Cc1sc(-c2sc(*)c3c2OCCO3)c2c1OCCO2,egc,1.7209,1.6050058603286743
*C(*)(F)Cl,egc,3.6564,5.941903591156006
*C(*)(F)Cl,tg,77.0,52.82497024536133
*C(*)(F)F,egc,7.2027,7.48450231552124
*C(*)C,egb,7.4047,7.802103042602539
*C(*)C(=O)OC,tg,80.25,78.95114135742188
*C(*)C(=O)OC(C)C,tg,70.0,65.91959381103516
*C(*)C(=O)OC1CCCCC1,tg,140.0,95.25049591064453
*C(*)C(=O)OCC,tg,12.35,51.5499153137207
*C(*)F,egc,6.7608,7.006008148193359
*C(*)O,egc,6.4482,6.224163055419922
*C(=C(*)c1ccc(C(C)(C)C)cc1)c1ccccc1,tg,200.0,201.26902770996094
*C(=C(*)c1ccc(CCCC)cc1)c1ccccc1,tg,200.0,174.2620391845703
*C(=C(*)c1ccc(Oc2ccccc2)cc1)c1ccccc1,tg,200.0,177.4564666748047
*C(=C(*)c1ccc([Si](C(C)C)(C(C)C)C(C)C)cc1)c1ccccc1,tg,250.0,133.7036895751953
*C(=C(*)c1ccc([Si](C)(C)C)cc1)c1ccccc1,tg,200.0,230.5439453125
*C(=C(*)c1ccc[c]([Ge]([CH3])([CH3])[CH3])c1)c1ccccc1,tg,200.0,188.7482452392578
*C(=C(*)c1cccc([Si](C)(C)C)c1)c1ccccc1,tg,200.0,191.6916046142578
*C(=C(C#N)c1ccc(C(=O)OC2CCN(*)CC2)cc1)c1ccc(OC)cc1,tg,183.0,190.2792510986328
*C(=C([2H])C([2H])([2H])C(*)([2H])[2H])C([2H])([2H])[2H],tg,-58.0,13.164484977722168
*C(=Cc1cc(OC)c(C=C(c2ccc(*)cc2)c2ccc(F)cc2)cc1OC)c1ccc(F)cc1,tg,193.0,185.56298828125
*C(=Cc1cc(OC)c(C=C(c2ccc(*)cc2)c2ccc(OC)cc2)cc1OC)c1ccc(OC)cc1,tg,170.0,164.4724578857422
*C(=Cc1cc(OC)c(C=C(c2ccc(F)cc2)c2ccc(-c3ccc(*)cc3)cc2)cc1OC)c1ccc(F)cc1,tg,201.0,211.28224182128906
*C(=Cc1cc(OC)c(C=C(c2ccc(F)cc2)c2ccc3cc(*)ccc3c2)cc1OC)c1ccc(F)cc1,tg,208.0,202.2657928466797
*C(=Cc1cc(OC)c(C=C(c2ccccc2)c2ccc3cc(*)ccc3c2)cc1OC)c1ccccc1,tg,198.0,207.3302459716797
*C(=Cc1ccc(C=C(c2ccccc2)c2ccc(-c3ccc(*)cc3)cc2)cc1)c1ccccc1,tg,220.0,247.6605682373047
*C(=NCCCCCC)N(*)CCCCCC,egc,4.3588,3.825507164001465
*C(=Nc1ccccc1)c1ccc(-c2ccc(*)cc2)cc1,tg,225.0,213.92755126953125
*C(=O)C(=S)OC(*)=S,egb,1.4146,1.3300179243087769
*C(=O)C(=S)OC(*)=S,eps,6.46,6.506496906280518
*C(=O)C(=S)OC(*)=S,nc,2.3004,2.298631429672241
*C(=O)C(F)(F)C(=O)C(*)(F)F,egb,3.1408,3.1851816177368164
*C(=O)C(F)(F)CC(*)(F)F,eea,3.352,3.3288238048553467
*C(=O)C(F)(F)CC(*)(F)F,egb,4.9978,4.717016220092773
*C(=O)C(F)(F)CC(*)(F)F,egc,4.9534,5.141396522521973
*C(=O)C(F)(F)CC(*)(F)F,ei,8.1829,8.368582725524902
*C(=O)C(F)(F)CC(*)(F)F,nc,1.6107,1.606135368347168
*C(=O)C(F)(F)NC(*)(F)F,egb,5.0875,4.867000579833984
*C(=O)C(F)(F)NC(*)(F)F,egc,4.8818,5.304196834564209
*C(=O)C(F)(F)NC(*)(F)F,ei,8.5584,8.686686515808105
*C(=O)C(O)c1ccc(*)s1,egc,4.0132,3.283885955810547
*C(=O)C1C2C=CC(C2)C1*,tg,85.5,146.72877502441406
*C(=O)C1CC(OC(=O)CCC)CN1*,egc,5.4104,5.3408331871032715
*C(=O)C1CC(OC(C)=O)CN1*,egc,4.1614,5.557466983795166
*C(=O)C1CCCN1*,egc,5.5773,5.126133441925049
*C(=O)CC(F)(F)C(*)(F)F,egb,5.0395,5.013404369354248
*C(=O)CC(F)(F)C(*)(F)F,ei,7.9225,7.769828796386719
*C(=O)CC(F)(F)C(*)(F)F,nc,1.6044,1.6535924673080444
*C(=O)CCC1(CCC(=O)N2CCN(*)CC2)c2ccccc2-c2ccccc21,tg,145.0,131.28915405273438
*C(=O)CCCCC(=O)N1CCN(*)CC1,egc,5.6091,5.507501125335693
*C(=O)CCCCCCCCC(=O)N1CC(C)N(*)CC1C,tg,-60.5,46.07786178588867
*C(=O)CCCCCCCCC(=O)N1CCN(*)CC1,tg,70.4,-2.3369853496551514
*C(=O)CCCCCCCCC(=O)NC1CCCCN(*)C1,tg,-46.5,74.5344467163086
*C(=O)CCN(C)CCN(C)CCC(=O)N1CCN(*)CC1,egc,4.9845,5.1086835861206055
*C(=O)CCN1CCN(CCC(=O)N2CCN(*)C(C)C2)CC1,egc,4.9509,4.793470859527588
*C(=O)CNC(=O)C1CCCN1C(=O)C1CCCN1*,egc,5.248,5.24855899810791
*C(=O)COCC(=O)N1CCN(*)CC1,egc,5.5847,5.313257217407227
