canon,target_type,y_true,y_pred
*/C=C\C(C#N)C*,egc,5.3057,5.592665672302246
*=CC1OC(C=*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,egc,5.0857,4.488565444946289
*=CC1OC(C=*)C2C(=O)N(c3cccc(C(F)(F)F)c3)C(=O)C12,egc,5.0879,4.490455150604248
*C#CC#CCCCCCCCC*,egc,5.4216,4.292788982391357
*C#CC#Cc1cc(C(C)(C)C)cc2c3cc(C(C)(C)C)cc(*)c3n(CCCCCCCCCCCCCCCC)c12,tg,67.0,79.2994384765625
*C#CC(=C(*)c1cnc2ccccc2c1)c1cnc2ccccc2c1,egb,0.5725,2.0322213172912598
*C#CC(COS(=O)(=O)c1ccc(C)cc1)=C(*)COS(=O)(=O)c1ccc(C)cc1,tg,-73.0,108.35775756835938
*C#CC=C*,egc,1.1342,2.447744846343994
*C#Cc1c(F)c(F)c(C#Cc2cc(CCCCCC)c(*)s2)c(F)c1F,egc,2.8156,2.154690742492676
*C#Cc1cc(C(C)(C)C)cc2c3cc(C(C)(C)C)cc(*)c3n(CCCCCCCCCCCCCCCC)c12,tg,80.0,79.07192993164062
*C#Cc1cc(CCCCCC)c(*)s1,egc,1.5751,2.5252785682678223
*C#Cc1cc(OCC(CC)CCCC)c(C#Cc2cc(OCCNCCCC)c(*)cc2OCCNCCCC)cc1OCC(CC)CCCC,egc,2.9566,2.503955125808716
*C#Cc1cc(OCCCCCC)c(C#Cc2ccc3c(-c4c(O)ccc5cc(*)ccc45)c(O)ccc3c2)cc1OCCCCCC,egc,3.0868,2.412414073944092
*C#Cc1cccc(C#C[SiH](*)C)c1,tg,72.0,33.02772521972656
*C#Cc1cccc(C#C[Si](*)(C)C)c1,tg,50.0,113.15576171875
*C#Cc1ccccc1C#C[SiH](*)c1ccccc1,tg,71.0,78.38652801513672
*C#Cc1sc(-c2sc(*)c3c2OCCO3)c2c1OCCO2,egc,1.7209,1.3985860347747803
*C(*)(F)Cl,egc,3.6564,5.867991924285889
*C(*)(F)Cl,tg,77.0,-85.82029724121094
*C(*)(F)F,egc,7.2027,4.284261703491211
*C(*)C,egb,7.4047,7.065612316131592
*C(*)C(=O)OC,tg,80.25,106.28970336914062
*C(*)C(=O)OC(C)C,tg,70.0,51.23845672607422
*C(*)C(=O)OC1CCCCC1,tg,140.0,90.55827331542969
*C(*)C(=O)OCC,tg,12.35,72.6667251586914
*C(*)F,egc,6.7608,6.133509635925293
*C(*)O,egc,6.4482,5.810612678527832
*C(=C(*)c1ccc(C(C)(C)C)cc1)c1ccccc1,tg,200.0,221.3151092529297
*C(=C(*)c1ccc(CCCC)cc1)c1ccccc1,tg,200.0,165.0570068359375
*C(=C(*)c1ccc(Oc2ccccc2)cc1)c1ccccc1,tg,200.0,156.26809692382812
*C(=C(*)c1ccc([Si](C(C)C)(C(C)C)C(C)C)cc1)c1ccccc1,tg,250.0,188.7666015625
*C(=C(*)c1ccc([Si](C)(C)C)cc1)c1ccccc1,tg,200.0,217.2605743408203
*C(=C(*)c1ccc[c]([Ge]([CH3])([CH3])[CH3])c1)c1ccccc1,tg,200.0,218.5501251220703
*C(=C(*)c1cccc([Si](C)(C)C)c1)c1ccccc1,tg,200.0,188.12657165527344
*C(=C(C#N)c1ccc(C(=O)OC2CCN(*)CC2)cc1)c1ccc(OC)cc1,tg,183.0,161.53839111328125
*C(=C([2H])C([2H])([2H])C(*)([2H])[2H])C([2H])([2H])[2H],tg,-58.0,17.40772247314453
*C(=Cc1cc(OC)c(C=C(c2ccc(*)cc2)c2ccc(F)cc2)cc1OC)c1ccc(F)cc1,tg,193.0,196.67491149902344
