canon,target_type,y_true,y_pred
*/C=C\C(C#N)C*,egc,5.3057,5.528832912445068
*=CC1OC(C=*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,egc,5.0857,4.890029430389404
*=CC1OC(C=*)C2C(=O)N(c3cccc(C(F)(F)F)c3)C(=O)C12,egc,5.0879,4.899231910705566
*C#CC#CCCCCCCCC*,egc,5.4216,4.14666223526001
*C#CC#Cc1cc(C(C)(C)C)cc2c3cc(C(C)(C)C)cc(*)c3n(CCCCCCCCCCCCCCCC)c12,tg,67.0,87.08261108398438
*C#CC(=C(*)c1cnc2ccccc2c1)c1cnc2ccccc2c1,egb,0.5725,2.1751818656921387
*C#CC(COS(=O)(=O)c1ccc(C)cc1)=C(*)COS(=O)(=O)c1ccc(C)cc1,tg,-73.0,79.50177764892578
*C#CC=C*,egc,1.1342,1.7618910074234009
*C#Cc1c(F)c(F)c(C#Cc2cc(CCCCCC)c(*)s2)c(F)c1F,egc,2.8156,2.095245361328125
*C#Cc1cc(C(C)(C)C)cc2c3cc(C(C)(C)C)cc(*)c3n(CCCCCCCCCCCCCCCC)c12,tg,80.0,67.82530975341797
*C#Cc1cc(CCCCCC)c(*)s1,egc,1.5751,2.6574902534484863
*C#Cc1cc(OCC(CC)CCCC)c(C#Cc2cc(OCCNCCCC)c(*)cc2OCCNCCCC)cc1OCC(CC)CCCC,egc,2.9566,2.9473822116851807
*C#Cc1cc(OCCCCCC)c(C#Cc2ccc3c(-c4c(O)ccc5cc(*)ccc45)c(O)ccc3c2)cc1OCCCCCC,egc,3.0868,2.8268308639526367
*C#Cc1cccc(C#C[SiH](*)C)c1,tg,72.0,46.50532913208008
*C#Cc1cccc(C#C[Si](*)(C)C)c1,tg,50.0,101.42462921142578
*C#Cc1ccccc1C#C[SiH](*)c1ccccc1,tg,71.0,92.100830078125
*C#Cc1sc(-c2sc(*)c3c2OCCO3)c2c1OCCO2,egc,1.7209,1.4141381978988647
*C(*)(F)Cl,egc,3.6564,6.579475402832031
*C(*)(F)Cl,tg,77.0,-15.756790161132812
*C(*)(F)F,egc,7.2027,4.206876277923584
*C(*)C,egb,7.4047,6.768763065338135
*C(*)C(=O)OC,tg,80.25,93.27474212646484
*C(*)C(=O)OC(C)C,tg,70.0,48.69328308105469
