canon,target_type,y_true,y_pred
*C(=O)C(F)(F)CC(*)(F)F,eea,3.352,2.5039845172030777
*C(=O)Oc1ccc(C(*)=S)cc1,eea,3.6938,3.1107043733780535
*C(=O)Oc1ccc(C(*)=S)s1,eea,3.8482,3.6353100128780387
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,eea,3.0595,2.983368314807436
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,eea,2.775,3.215943029245743
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)s1,eea,4.1032,4.246726926844079
*C(=O)c1ccc(C(=O)C(*)=S)cc1,eea,3.783,4.058001681137506
*C(=O)c1ccc(C(=O)C(*)=S)s1,eea,4.6396,4.362308514906367
*C(=O)c1ccc(C(=O)c2ccc(*)cc2)cc1,eea,2.1866,2.475026108207257
*C(=O)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9183,3.238377089851915
*C(=O)c1ccc(C(=S)c2ccc(*)s2)cc1,eea,3.9759,3.7670946514271817
*C(=O)c1ccc(C(=S)c2ccc(*)s2)s1,eea,4.1286,4.1536861468208945
*C(=O)c1ccc(NC(=S)Oc2ccc(Nc3ccc(*)s3)s2)s1,eea,2.7059,2.9707210771933914
*C(=O)c1ccc(OC(*)=S)cc1,eea,3.2631,3.4409834037891347
*C(=O)c1ccc(Oc2ccc(*)s2)s1,eea,2.882,2.868792805608614
*C(=S)C(=O)C(F)(F)C(*)(F)F,eea,5.1438,4.028635486895446
*C(=S)C(F)(F)c1ccc(C(*)(F)F)cc1,eea,4.0037,3.701651357473291
*C(=S)C(F)(F)c1ccc(C(*)(F)F)s1,eea,4.1531,3.649164300459753
*C(=S)CC(F)(F)C(*)(F)F,eea,3.5657,3.022833501747587
*C(=S)OC(=S)c1ccc(*)cc1,eea,3.7508,3.3371270009567198
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,eea,3.0264,3.1252904545350204
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,eea,3.3503,3.1302347123619487
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9311,3.1754065722492344
*C(=S)c1ccc(C(F)(F)C(*)(F)F)s1,eea,4.1828,3.8420719486377277
*C(F)C(*)(F)F,eea,1.524,2.4323149684393877
*CC(*)(F)F,eea,1.1415,1.4830534517896128
*CC(*)C,eea,0.4343,1.508256856959529
*CC(=O)C(=S)C(*)=O,eea,4.8698,3.1233729862255295
*CC(=O)C(=S)O*,eea,2.8847,3.1202747338405765
*CC(=O)CC(*)=O,eea,1.5258,2.1770814373386185
*CC(=O)CC(*)=S,eea,3.0632,3.1213185032872124
*CC(=O)Cc1ccc(*)cc1,eea,1.8209,1.602293065280492
*CC(=O)Cc1ccc(*)s1,eea,1.6069,1.9806152313390777
*CC(=O)NC(*)=S,eea,2.9562,3.1247151039441157
*CC(=O)Nc1ccc(*)cc1,eea,1.369,1.4080842718515734
*CC(=O)Nc1ccc(*)s1,eea,1.3272,1.5793103221683942
*CC(=O)O*,eea,1.2063,1.7152172870903797
*CC(=O)Oc1ccc(*)s1,eea,1.4534,1.6884366296409175
*CC(=O)c1ccc(-c2ccc(*)s2)cc1,eea,2.4129,2.489286745415712
*CC(=O)c1ccc(C(*)=O)s1,eea,3.1941,2.963535132199369
*CC(=O)c1ccc(C(*)=S)cc1,eea,3.7473,3.48202446334167
*CC(=O)c1ccc(O*)cc1,eea,2.3793,2.2646093362860507
*CC(=O)c1ccc(O*)s1,eea,2.4711,2.1513439607089384
*CC(=S)C(=O)O*,eea,3.8755,2.9467912307226367
*CC(=S)NO*,eea,2.2076,2.342147551582415
*CC(=S)c1ccc(C(*)=S)cc1,eea,2.9742,3.346121282543012
*CC(=S)c1ccc(N*)cc1,eea,3.0309,2.5862946742293853
*CC(=S)c1ccc(O*)cc1,eea,3.1915,2.8129302702641104
*CC(O*)C(F)(F)F,eea,0.7546,2.0510118295363755
*CCC(=O)C(*)=S,eea,3.1911,3.2333351378092816
*CCC(=O)N*,eea,1.1904,1.1552630631243748
*CCC(=O)OC(=O)Cc1ccc(-c2ccc(*)cc2)cc1,eea,1.5387,1.6776763511200077
*CCC(=O)c1ccc(*)s1,eea,2.6933,2.314618472943821
*CCC(O*)(C(F)(F)F)C(F)(F)F,eea,0.4911,1.5847705864957826
*CCCC(*)=O,eea,1.2346,1.8848464637739597
*CCCC(*)=S,eea,2.3997,2.3632444315541687
*CCCCCCC(=O)N*,eea,0.6934,1.2575751420445864
*CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,eea,0.9199,1.1321551541522268
*CCCCCOCO*,eea,0.5413,0.690210566055036
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,eea,2.4936,1.8858557504249238
*CCCc1ccc(*)cc1,eea,0.9937,1.0826180582025713
*CCNC(*)=S,eea,1.6837,2.3200612201232653
*CCNc1ccc(*)cc1,eea,0.6326,1.0314443574372851
*CCO*,eea,0.3936,0.712748270148565
*CCOC(=O)CCCCC(=O)O*,eea,1.0754,0.9388894890545438
*CCOC(=O)CCCCCCC(=O)O*,eea,0.8924,1.0385292200106675
*CCOC(=O)NCCOCCOCCNC(=O)O*,eea,0.573,0.9845634901011711
*CCOC(=O)c1ccc(C(=O)O*)cc1,eea,2.2723,2.043995693582508
*CCOC(=S)NC(=S)c1ccc(N*)cc1,eea,2.6209,1.987090546217463
*CCOCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,eea,0.755,1.0386113776853947
*CCOCCOC(=O)O*,eea,0.4954,0.703248350726611
*CCc1ccc(-c2ccc(*)s2)cc1,eea,1.6982,1.6705881867176444
*CCc1ccc(-c2ccc(*)s2)s1,eea,1.9411,1.8235125770416594
*CCc1ccc(C(*)=S)s1,eea,3.3272,2.9752960922460225
*CCc1ccc(O*)cc1,eea,0.7536,0.870395151599934
*CCc1ccc(O*)s1,eea,0.6627,1.039479086417056
*CNC(=O)C(*)=S,eea,4.0732,2.809183302398512
*CNC(=O)NCOCO*,eea,0.7808,1.3981248325919098
*CNC(=O)c1ccc(*)s1,eea,1.968,2.1719562964762145
*CNC(=S)c1ccc(*)s1,eea,2.3974,2.50865554547694
*CNCC(*)=O,eea,1.6269,1.9848528034559314
*CNCC(*)=S,eea,2.6857,2.570557549563221
*CNCCCOCO*,eea,0.6155,0.6432865036711464
*CNCCNC(=O)OC*,eea,0.5903,1.2158596959428645
*CNCN*,eea,0.8689,0.8790063299790383
*CNCO*,eea,0.7624,0.809988780283833
*CNCc1ccc(*)s1,eea,1.1612,1.2823290013771063
*CNOC(*)=S,eea,2.5,2.7865381551695587
*CNON*,eea,0.9652,0.9336739998130639
*CNc1ccc(N*)cc1,eea,0.54,1.0238912882087075
*CNc1ccc(N*)s1,eea,0.5629,0.9493250493552321
*CNc1ccc(O*)cc1,eea,0.7695,0.8319526013773666
*CNc1ccc(O*)s1,eea,0.8203,0.9694402390106593
*CO*,eea,0.9897,0.7046719106794246
*COC(=O)O*,eea,0.7529,1.025093077367982
*COC(=S)O*,eea,2.0771,1.8991281496198142
*COCOCCCO*,eea,0.6927,1.0172019161887378
