canon,target_type,y_true,y_pred
*C(=O)C(F)(F)CC(*)(F)F,eea,3.352,1.759839880016034
*C(=O)Oc1ccc(C(*)=S)cc1,eea,3.6938,3.392178098537129
*C(=O)Oc1ccc(C(*)=S)s1,eea,3.8482,3.8450599423223273
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,eea,3.0595,2.5631312250375906
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,eea,2.775,2.793769007152424
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)s1,eea,4.1032,3.907513819115513
*C(=O)c1ccc(C(=O)C(*)=S)cc1,eea,3.783,4.240008982932642
*C(=O)c1ccc(C(=O)C(*)=S)s1,eea,4.6396,4.278031249852313
*C(=O)c1ccc(C(=O)c2ccc(*)cc2)cc1,eea,2.1866,2.9962716768318725
*C(=O)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9183,3.2894794770886024
*C(=O)c1ccc(C(=S)c2ccc(*)s2)cc1,eea,3.9759,3.37861160788959
*C(=O)c1ccc(C(=S)c2ccc(*)s2)s1,eea,4.1286,4.086896554336096
*C(=O)c1ccc(NC(=S)Oc2ccc(Nc3ccc(*)s3)s2)s1,eea,2.7059,3.1828341989307316
*C(=O)c1ccc(OC(*)=S)cc1,eea,3.2631,3.2584279222881416
*C(=O)c1ccc(Oc2ccc(*)s2)s1,eea,2.882,2.886485648030799
*C(=S)C(=O)C(F)(F)C(*)(F)F,eea,5.1438,4.541076722426032
*C(=S)C(F)(F)c1ccc(C(*)(F)F)cc1,eea,4.0037,3.8543222456485022
*C(=S)C(F)(F)c1ccc(C(*)(F)F)s1,eea,4.1531,3.9806508149626008
*C(=S)CC(F)(F)C(*)(F)F,eea,3.5657,4.058289328444351
*C(=S)OC(=S)c1ccc(*)cc1,eea,3.7508,3.0905164232401674
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,eea,3.0264,2.9751599772710016
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,eea,3.3503,2.9597036675147192
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9311,3.2598929062943633
*C(=S)c1ccc(C(F)(F)C(*)(F)F)s1,eea,4.1828,4.073568125147287
*C(F)C(*)(F)F,eea,1.524,1.9414714653668004
*CC(*)(F)F,eea,1.1415,1.0255088358496955
*CC(*)C,eea,0.4343,0.9880280051447367
*CC(=O)C(=S)C(*)=O,eea,4.8698,3.9211512523677006
*CC(=O)C(=S)O*,eea,2.8847,4.0939891003967235
*CC(=O)CC(*)=O,eea,1.5258,1.929734838898822
*CC(=O)CC(*)=S,eea,3.0632,3.2591471781057413
*CC(=O)Cc1ccc(*)cc1,eea,1.8209,1.6587420096497523
*CC(=O)Cc1ccc(*)s1,eea,1.6069,2.1389774373310924
*CC(=O)NC(*)=S,eea,2.9562,3.0736049124803997
*CC(=O)Nc1ccc(*)cc1,eea,1.369,1.2226086009860102
*CC(=O)Nc1ccc(*)s1,eea,1.3272,1.6919875863323923
*CC(=O)O*,eea,1.2063,1.224402858721004
*CC(=O)Oc1ccc(*)s1,eea,1.4534,1.4090238315371464
*CC(=O)c1ccc(-c2ccc(*)s2)cc1,eea,2.4129,2.258610604151655
*CC(=O)c1ccc(C(*)=O)s1,eea,3.1941,2.664217129210316
*CC(=O)c1ccc(C(*)=S)cc1,eea,3.7473,3.491538924964067
*CC(=O)c1ccc(O*)cc1,eea,2.3793,1.7815699683870942
*CC(=O)c1ccc(O*)s1,eea,2.4711,2.2896179257259552
*CC(=S)C(=O)O*,eea,3.8755,3.656002841746945
*CC(=S)NO*,eea,2.2076,2.480596106191738
*CC(=S)c1ccc(C(*)=S)cc1,eea,2.9742,3.3460875164275214
*CC(=S)c1ccc(N*)cc1,eea,3.0309,2.9885876670224643
*CC(=S)c1ccc(O*)cc1,eea,3.1915,3.094521950681304
*CC(O*)C(F)(F)F,eea,0.7546,1.7346009115221703
*CCC(=O)C(*)=S,eea,3.1911,3.732007727224388
*CCC(=O)N*,eea,1.1904,1.0780411997264685
*CCC(=O)OC(=O)Cc1ccc(-c2ccc(*)cc2)cc1,eea,1.5387,2.111857547476627
*CCC(=O)c1ccc(*)s1,eea,2.6933,2.2910019915670707
*CCC(O*)(C(F)(F)F)C(F)(F)F,eea,0.4911,1.809954313480377
*CCCC(*)=O,eea,1.2346,1.48831748216842
*CCCC(*)=S,eea,2.3997,2.469521497426471
*CCCCCCC(=O)N*,eea,0.6934,1.0752105154945402
*CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,eea,0.9199,0.9068101616471365
*CCCCCOCO*,eea,0.5413,0.6019012509061842
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,eea,2.4936,1.52286220087933
*CCCc1ccc(*)cc1,eea,0.9937,1.049963135888863
*CCNC(*)=S,eea,1.6837,2.251371290970842
*CCNc1ccc(*)cc1,eea,0.6326,0.7807498577821927
*CCO*,eea,0.3936,0.935844751224282
