canon,target_type,y_true,y_pred
*C(=O)C(F)(F)CC(*)(F)F,eea,3.352,1.8910116355768203
*C(=O)Oc1ccc(C(*)=S)cc1,eea,3.6938,3.29508816430208
*C(=O)Oc1ccc(C(*)=S)s1,eea,3.8482,3.654824184969666
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,eea,3.0595,2.6089465625416195
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,eea,2.775,2.800280615690219
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)s1,eea,4.1032,3.8083438446615867
*C(=O)c1ccc(C(=O)C(*)=S)cc1,eea,3.783,4.0116974733760715
*C(=O)c1ccc(C(=O)C(*)=S)s1,eea,4.6396,3.77640302249187
*C(=O)c1ccc(C(=O)c2ccc(*)cc2)cc1,eea,2.1866,2.541929708254556
*C(=O)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9183,3.343372430130927
*C(=O)c1ccc(C(=S)c2ccc(*)s2)cc1,eea,3.9759,3.6400927313580382
*C(=O)c1ccc(C(=S)c2ccc(*)s2)s1,eea,4.1286,3.9494077221197736
*C(=O)c1ccc(NC(=S)Oc2ccc(Nc3ccc(*)s3)s2)s1,eea,2.7059,2.925451923046791
*C(=O)c1ccc(OC(*)=S)cc1,eea,3.2631,3.441473859011257
*C(=O)c1ccc(Oc2ccc(*)s2)s1,eea,2.882,2.85777852263716
*C(=S)C(=O)C(F)(F)C(*)(F)F,eea,5.1438,4.093466883118207
*C(=S)C(F)(F)c1ccc(C(*)(F)F)cc1,eea,4.0037,3.3988756115704035
*C(=S)C(F)(F)c1ccc(C(*)(F)F)s1,eea,4.1531,3.437721130194484
*C(=S)CC(F)(F)C(*)(F)F,eea,3.5657,3.2351838938587636
*C(=S)OC(=S)c1ccc(*)cc1,eea,3.7508,3.1406171397459453
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,eea,3.0264,3.059134969827027
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,eea,3.3503,3.092256636161666
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9311,3.1118083305519026
*C(=S)c1ccc(C(F)(F)C(*)(F)F)s1,eea,4.1828,3.438640486440726
*C(F)C(*)(F)F,eea,1.524,1.8812430454543008
*CC(*)(F)F,eea,1.1415,1.0596323657770041
*CC(*)C,eea,0.4343,0.8782589715357327
*CC(=O)C(=S)C(*)=O,eea,4.8698,3.4505055172299057
*CC(=O)C(=S)O*,eea,2.8847,4.021385072745869
*CC(=O)CC(*)=O,eea,1.5258,1.6024217597869375
*CC(=O)CC(*)=S,eea,3.0632,3.1917050764655857
*CC(=O)Cc1ccc(*)cc1,eea,1.8209,1.5953969609067586
*CC(=O)Cc1ccc(*)s1,eea,1.6069,1.8706102207105464
*CC(=O)NC(*)=S,eea,2.9562,3.0355697304691462
*CC(=O)Nc1ccc(*)cc1,eea,1.369,1.1807892465530212
*CC(=O)Nc1ccc(*)s1,eea,1.3272,1.544613723938312
*CC(=O)O*,eea,1.2063,1.168205120484528
*CC(=O)Oc1ccc(*)s1,eea,1.4534,1.4804600206420975
*CC(=O)c1ccc(-c2ccc(*)s2)cc1,eea,2.4129,2.332928920743515
*CC(=O)c1ccc(C(*)=O)s1,eea,3.1941,2.829159587881406
*CC(=O)c1ccc(C(*)=S)cc1,eea,3.7473,3.3778074412032844
*CC(=O)c1ccc(O*)cc1,eea,2.3793,1.9918213264223987
*CC(=O)c1ccc(O*)s1,eea,2.4711,2.444931906771533
*CC(=S)C(=O)O*,eea,3.8755,3.4285535085318557
*CC(=S)NO*,eea,2.2076,2.670711747044102
*CC(=S)c1ccc(C(*)=S)cc1,eea,2.9742,3.162332991029831
*CC(=S)c1ccc(N*)cc1,eea,3.0309,2.7407452230664395
*CC(=S)c1ccc(O*)cc1,eea,3.1915,2.9284414159820247
*CC(O*)C(F)(F)F,eea,0.7546,1.5180332759467172
*CCC(=O)C(*)=S,eea,3.1911,3.666083001571804
*CCC(=O)N*,eea,1.1904,0.9256643661674568
*CCC(=O)OC(=O)Cc1ccc(-c2ccc(*)cc2)cc1,eea,1.5387,2.064094275946299
*CCC(=O)c1ccc(*)s1,eea,2.6933,2.442538927695329
*CCC(O*)(C(F)(F)F)C(F)(F)F,eea,0.4911,1.7249307429654595
*CCCC(*)=O,eea,1.2346,1.38476137017373
*CCCC(*)=S,eea,2.3997,2.3274407439019553
*CCCCCCC(=O)N*,eea,0.6934,1.0929959161648601
*CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,eea,0.9199,1.0901698133527276
*CCCCCOCO*,eea,0.5413,0.5863844999147554
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,eea,2.4936,1.8821797916249983
*CCCc1ccc(*)cc1,eea,0.9937,0.9561643511215416
*CCNC(*)=S,eea,1.6837,2.445334637663451
*CCNc1ccc(*)cc1,eea,0.6326,0.8876785499421775
*CCO*,eea,0.3936,0.841673945932575
*CCOC(=O)CCCCC(=O)O*,eea,1.0754,1.089543929321244
*CCOC(=O)CCCCCCC(=O)O*,eea,0.8924,1.260518902710553
*CCOC(=O)NCCOCCOCCNC(=O)O*,eea,0.573,0.9752461360661346
*CCOC(=O)c1ccc(C(=O)O*)cc1,eea,2.2723,2.0166582946198144
