canon,target_type,y_true,y_pred
*C(=O)C(F)(F)CC(*)(F)F,eea,3.352,1.732175533486935
*C(=O)Oc1ccc(C(*)=S)cc1,eea,3.6938,3.4745337280587942
*C(=O)Oc1ccc(C(*)=S)s1,eea,3.8482,3.772506839949421
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,eea,3.0595,2.6455251948304093
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,eea,2.775,2.9101817370329526
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)s1,eea,4.1032,3.9073458661888374
*C(=O)c1ccc(C(=O)C(*)=S)cc1,eea,3.783,4.206080241091675
*C(=O)c1ccc(C(=O)C(*)=S)s1,eea,4.6396,4.321735016727639
*C(=O)c1ccc(C(=O)c2ccc(*)cc2)cc1,eea,2.1866,2.943645277936952
*C(=O)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9183,3.284035995848737
*C(=O)c1ccc(C(=S)c2ccc(*)s2)cc1,eea,3.9759,3.424100085945154
*C(=O)c1ccc(C(=S)c2ccc(*)s2)s1,eea,4.1286,4.16837292469392
*C(=O)c1ccc(NC(=S)Oc2ccc(Nc3ccc(*)s3)s2)s1,eea,2.7059,3.1501012840859874
*C(=O)c1ccc(OC(*)=S)cc1,eea,3.2631,3.2369664062326002
*C(=O)c1ccc(Oc2ccc(*)s2)s1,eea,2.882,2.9695169549505622
*C(=S)C(=O)C(F)(F)C(*)(F)F,eea,5.1438,4.420905829489427
*C(=S)C(F)(F)c1ccc(C(*)(F)F)cc1,eea,4.0037,3.8255190269164077
*C(=S)C(F)(F)c1ccc(C(*)(F)F)s1,eea,4.1531,3.826562696604596
*C(=S)CC(F)(F)C(*)(F)F,eea,3.5657,4.040670507488578
*C(=S)OC(=S)c1ccc(*)cc1,eea,3.7508,3.2580357255945986
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,eea,3.0264,2.9874534578262195
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,eea,3.3503,3.031800229885194
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9311,3.120068780013401
*C(=S)c1ccc(C(F)(F)C(*)(F)F)s1,eea,4.1828,4.120595190157847
*C(F)C(*)(F)F,eea,1.524,1.8014481655471544
*CC(*)(F)F,eea,1.1415,0.9158533650942067
*CC(*)C,eea,0.4343,0.9614701644588314
*CC(=O)C(=S)C(*)=O,eea,4.8698,3.779620616915149
*CC(=O)C(=S)O*,eea,2.8847,4.064878127115885
*CC(=O)CC(*)=O,eea,1.5258,2.046973753981074
*CC(=O)CC(*)=S,eea,3.0632,3.38667464145518
*CC(=O)Cc1ccc(*)cc1,eea,1.8209,1.6170811130550942
*CC(=O)Cc1ccc(*)s1,eea,1.6069,1.721893366038224
*CC(=O)NC(*)=S,eea,2.9562,3.0832392393879435
*CC(=O)Nc1ccc(*)cc1,eea,1.369,1.1085593354249976
*CC(=O)Nc1ccc(*)s1,eea,1.3272,1.4532586886877448
*CC(=O)O*,eea,1.2063,1.0202244003365561
*CC(=O)Oc1ccc(*)s1,eea,1.4534,1.4100775115401791
*CC(=O)c1ccc(-c2ccc(*)s2)cc1,eea,2.4129,2.238403931613818
*CC(=O)c1ccc(C(*)=O)s1,eea,3.1941,2.6273258213525463
*CC(=O)c1ccc(C(*)=S)cc1,eea,3.7473,3.4816094709142704
*CC(=O)c1ccc(O*)cc1,eea,2.3793,2.104769746098645
*CC(=O)c1ccc(O*)s1,eea,2.4711,2.2499195010353517
*CC(=S)C(=O)O*,eea,3.8755,3.686382827241909
*CC(=S)NO*,eea,2.2076,2.612722573855134
