canon,target_type,y_true,y_pred
*C(=O)C(F)(F)CC(*)(F)F,eea,3.352,2.465728282928467
*C(=O)Oc1ccc(C(*)=S)cc1,eea,3.6938,3.241482734680176
*C(=O)Oc1ccc(C(*)=S)s1,eea,3.8482,3.5903661251068115
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,eea,3.0595,2.7560129165649414
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,eea,2.775,2.98380970954895
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)s1,eea,4.1032,4.255824089050293
*C(=O)c1ccc(C(=O)C(*)=S)cc1,eea,3.783,4.540018081665039
*C(=O)c1ccc(C(=O)C(*)=S)s1,eea,4.6396,4.973667144775391
*C(=O)c1ccc(C(=O)c2ccc(*)cc2)cc1,eea,2.1866,3.2538838386535645
*C(=O)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9183,3.713080644607544
*C(=O)c1ccc(C(=S)c2ccc(*)s2)cc1,eea,3.9759,3.8876395225524902
*C(=O)c1ccc(C(=S)c2ccc(*)s2)s1,eea,4.1286,4.205730438232422
*C(=O)c1ccc(NC(=S)Oc2ccc(Nc3ccc(*)s3)s2)s1,eea,2.7059,3.5495567321777344
*C(=O)c1ccc(OC(*)=S)cc1,eea,3.2631,3.3741698265075684
*C(=O)c1ccc(Oc2ccc(*)s2)s1,eea,2.882,2.6913774013519287
*C(=S)C(=O)C(F)(F)C(*)(F)F,eea,5.1438,4.24203634262085
*C(=S)C(F)(F)c1ccc(C(*)(F)F)cc1,eea,4.0037,3.528895378112793
*C(=S)C(F)(F)c1ccc(C(*)(F)F)s1,eea,4.1531,3.890223503112793
*C(=S)CC(F)(F)C(*)(F)F,eea,3.5657,3.0790324211120605
*C(=S)OC(=S)c1ccc(*)cc1,eea,3.7508,3.7507071495056152
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,eea,3.0264,3.106721878051758
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,eea,3.3503,3.149627923965454
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9311,4.167355537414551
*C(=S)c1ccc(C(F)(F)C(*)(F)F)s1,eea,4.1828,3.890223503112793
*C(F)C(*)(F)F,eea,1.524,1.7410838603973389
*CC(*)(F)F,eea,1.1415,1.3625726699829102
*CC(*)C,eea,0.4343,0.5854798555374146
*CC(=O)C(=S)C(*)=O,eea,4.8698,4.246045112609863
*CC(=O)C(=S)O*,eea,2.8847,3.5973548889160156
*CC(=O)CC(*)=O,eea,1.5258,3.0138185024261475
*CC(=O)CC(*)=S,eea,3.0632,3.4732699394226074
*CC(=O)Cc1ccc(*)cc1,eea,1.8209,1.744553565979004
*CC(=O)Cc1ccc(*)s1,eea,1.6069,2.0876619815826416
*CC(=O)NC(*)=S,eea,2.9562,3.277806282043457
*CC(=O)Nc1ccc(*)cc1,eea,1.369,1.816024899482727
*CC(=O)Nc1ccc(*)s1,eea,1.3272,2.1711392402648926
*CC(=O)O*,eea,1.2063,2.233839988708496
*CC(=O)Oc1ccc(*)s1,eea,1.4534,1.9120100736618042
*CC(=O)c1ccc(-c2ccc(*)s2)cc1,eea,2.4129,2.3399996757507324
*CC(=O)c1ccc(C(*)=O)s1,eea,3.1941,3.0770366191864014
*CC(=O)c1ccc(C(*)=S)cc1,eea,3.7473,3.4474377632141113
*CC(=O)c1ccc(O*)cc1,eea,2.3793,1.9439623355865479
*CC(=O)c1ccc(O*)s1,eea,2.4711,2.199352741241455
*CC(=S)C(=O)O*,eea,3.8755,3.5321712493896484
*CC(=S)NO*,eea,2.2076,2.164832830429077
*CC(=S)c1ccc(C(*)=S)cc1,eea,2.9742,3.9918789863586426
*CC(=S)c1ccc(N*)cc1,eea,3.0309,2.3801980018615723
*CC(=S)c1ccc(O*)cc1,eea,3.1915,2.4194538593292236
*CC(O*)C(F)(F)F,eea,0.7546,1.8553881645202637
*CCC(=O)C(*)=S,eea,3.1911,3.4732699394226074
*CCC(=O)N*,eea,1.1904,1.7903308868408203
*CCC(=O)OC(=O)Cc1ccc(-c2ccc(*)cc2)cc1,eea,1.5387,1.7909443378448486
*CCC(=O)c1ccc(*)s1,eea,2.6933,1.985337734222412
*CCC(O*)(C(F)(F)F)C(F)(F)F,eea,0.4911,2.7251031398773193
*CCCC(*)=O,eea,1.2346,1.8058500289916992
*CCCC(*)=S,eea,2.3997,2.126024007797241
*CCCCCCC(=O)N*,eea,0.6934,0.5795685052871704
*CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,eea,0.9199,0.8625563383102417
*CCCCCOCO*,eea,0.5413,0.21691274642944336
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,eea,2.4936,1.3764066696166992
*CCCc1ccc(*)cc1,eea,0.9937,0.6943819522857666
*CCNC(*)=S,eea,1.6837,2.0991482734680176
*CCNc1ccc(*)cc1,eea,0.6326,0.8594732284545898
*CCO*,eea,0.3936,1.013135552406311
*CCOC(=O)CCCCC(=O)O*,eea,1.0754,1.1237874031066895
*CCOC(=O)CCCCCCC(=O)O*,eea,0.8924,0.7709821462631226
*CCOC(=O)NCCOCCOCCNC(=O)O*,eea,0.573,0.2448863983154297
*CCOC(=O)c1ccc(C(=O)O*)cc1,eea,2.2723,1.897111177444458
