canon,target_type,y_true,y_pred
*C(=O)C(F)(F)CC(*)(F)F,eea,3.352,1.4848745195122017
*C(=O)Oc1ccc(C(*)=S)cc1,eea,3.6938,3.253333750845077
*C(=O)Oc1ccc(C(*)=S)s1,eea,3.8482,3.7986468459619447
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,eea,3.0595,3.186067514046488
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,eea,2.775,3.1223816750816
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)s1,eea,4.1032,3.9239064988919257
*C(=O)c1ccc(C(=O)C(*)=S)cc1,eea,3.783,3.845538538206762
*C(=O)c1ccc(C(=O)C(*)=S)s1,eea,4.6396,3.646553735713027
*C(=O)c1ccc(C(=O)c2ccc(*)cc2)cc1,eea,2.1866,2.9295191868650927
*C(=O)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9183,2.74259142838162
*C(=O)c1ccc(C(=S)c2ccc(*)s2)cc1,eea,3.9759,3.1501360058505763
*C(=O)c1ccc(C(=S)c2ccc(*)s2)s1,eea,4.1286,3.6919848809842617
*C(=O)c1ccc(NC(=S)Oc2ccc(Nc3ccc(*)s3)s2)s1,eea,2.7059,2.638813334994668
*C(=O)c1ccc(OC(*)=S)cc1,eea,3.2631,3.1798121741196494
*C(=O)c1ccc(Oc2ccc(*)s2)s1,eea,2.882,3.0006059673331107
*C(=S)C(=O)C(F)(F)C(*)(F)F,eea,5.1438,4.036865721471128
*C(=S)C(F)(F)c1ccc(C(*)(F)F)cc1,eea,4.0037,3.192171395881182
*C(=S)C(F)(F)c1ccc(C(*)(F)F)s1,eea,4.1531,3.871454426624206
*C(=S)CC(F)(F)C(*)(F)F,eea,3.5657,4.353538508732455
*C(=S)OC(=S)c1ccc(*)cc1,eea,3.7508,3.1836572969461554
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,eea,3.0264,2.845902998123695
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,eea,3.3503,3.2034809979858454
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9311,2.476517891953176
*C(=S)c1ccc(C(F)(F)C(*)(F)F)s1,eea,4.1828,3.6387445027691934
*C(F)C(*)(F)F,eea,1.524,2.755179964537008
*CC(*)(F)F,eea,1.1415,1.2194998258416332
*CC(*)C,eea,0.4343,0.8243006342532312
*CC(=O)C(=S)C(*)=O,eea,4.8698,3.6754784486743164
*CC(=O)C(=S)O*,eea,2.8847,4.30330470539892
*CC(=O)CC(*)=O,eea,1.5258,1.876341570677607
*CC(=O)CC(*)=S,eea,3.0632,2.5791442527283808
*CC(=O)Cc1ccc(*)cc1,eea,1.8209,1.5291907798201603
*CC(=O)Cc1ccc(*)s1,eea,1.6069,2.0823962197731722
*CC(=O)NC(*)=S,eea,2.9562,3.2803166881118893
*CC(=O)Nc1ccc(*)cc1,eea,1.369,1.091275013984651
*CC(=O)Nc1ccc(*)s1,eea,1.3272,1.439129500126808
*CC(=O)O*,eea,1.2063,1.6364696951637592
*CC(=O)Oc1ccc(*)s1,eea,1.4534,1.2904723348222007
*CC(=O)c1ccc(-c2ccc(*)s2)cc1,eea,2.4129,2.2310625045880195
