canon,target_type,y_true,y_pred
*C(=O)C(F)(F)CC(*)(F)F,eea,3.352,1.6625147720155264
*C(=O)Oc1ccc(C(*)=S)cc1,eea,3.6938,3.5126629212466063
*C(=O)Oc1ccc(C(*)=S)s1,eea,3.8482,3.7070215039408247
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)cc2)cc1,eea,3.0595,2.617266338055651
*C(=O)c1ccc(-c2ccc(-c3ccc(*)s3)s2)cc1,eea,2.775,2.75682349459747
*C(=O)c1ccc(-c2ccc(C(*)=S)s2)s1,eea,4.1032,3.897679210172052
*C(=O)c1ccc(C(=O)C(*)=S)cc1,eea,3.783,4.2386319552166345
*C(=O)c1ccc(C(=O)C(*)=S)s1,eea,4.6396,4.251573213394086
*C(=O)c1ccc(C(=O)c2ccc(*)cc2)cc1,eea,2.1866,2.914382876611738
*C(=O)c1ccc(C(=S)c2ccc(*)cc2)cc1,eea,2.9183,3.211698471300037
*C(=O)c1ccc(C(=S)c2ccc(*)s2)cc1,eea,3.9759,3.3299441079656518
*C(=O)c1ccc(C(=S)c2ccc(*)s2)s1,eea,4.1286,4.1843839399566605
*C(=O)c1ccc(NC(=S)Oc2ccc(Nc3ccc(*)s3)s2)s1,eea,2.7059,3.2016897846003154
*C(=O)c1ccc(OC(*)=S)cc1,eea,3.2631,3.217439340196505
*C(=O)c1ccc(Oc2ccc(*)s2)s1,eea,2.882,2.8484785916451276
*C(=S)C(=O)C(F)(F)C(*)(F)F,eea,5.1438,4.622470569937251
*C(=S)C(F)(F)c1ccc(C(*)(F)F)cc1,eea,4.0037,3.8865788539713346
*C(=S)C(F)(F)c1ccc(C(*)(F)F)s1,eea,4.1531,3.887603251646537
*C(=S)CC(F)(F)C(*)(F)F,eea,3.5657,3.9452055541237563
*C(=S)OC(=S)c1ccc(*)cc1,eea,3.7508,3.239398603822276
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,eea,3.0264,3.0310862717286655
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,eea,3.3503,2.975854142423823
